connection,member,datum,origin_x_mm,origin_y_mm,origin_z_mm,along_y,along_z,cross_y,cross_z,along_from_corner_mm,signed_cross_from_corner_mm,hole_diameter_mm,instruction
lumber_leg_bolt_left_1,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1970.5484078470568,50.99364161109975,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_left_1,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1826.4864994705965,-82.52612182940453,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_left_2,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,2020.480999823284,25.641397952290845,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_left_2,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1876.4190914468238,-57.173878170595515,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_1,base_side_right,Minimum-X side face; lowest along-grain physical profile corner,1130.3000000000002,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1970.5484078470568,50.99364161109975,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_1,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1219.2,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1826.4864994705965,-82.52612182940453,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_2,base_side_right,Minimum-X side face; lowest along-grain physical profile corner,1130.3000000000002,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,2020.480999823284,25.641397952290845,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_2,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1219.2,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1876.4190914468238,-57.173878170595515,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
rail_front_bolt_left_1,base_post_outer_left,Minimum-X side face; lowest along-grain physical profile corner,-1181.1000000000001,-175.7,0.0,0.0,1.0,1.0,0.0,70.0,41.69999999999999,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
rail_front_bolt_left_1,base_floor_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-210.0,139.7,1.0,0.0,0.0,-1.0,76.0,69.69999999999999,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
