name,first_member,second_member,diameter_mm,length_mm,grip_mm,hole_diameter_mm,washer_od_mm,washer_thickness_mm,nut_height_mm,provisional,thread_length_mm,thread_start_mm
lumber_leg_bolt_left_1,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_left_2,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_right_1,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_right_2,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
rail_front_bolt_left_1,base_post_outer_left,base_floor_left,6.35,101.6,76.2,7.9375,19.0,1.6,5.69,True,25.4,76.19999999999999
rail_front_bolt_left_2,base_post_outer_left,base_floor_left,6.35,101.6,76.2,7.9375,19.0,1.6,5.69,True,25.4,76.19999999999999
rail_front_bolt_left_3,base_post_outer_left,base_floor_left,6.35,101.6,76.2,7.9375,19.0,1.6,5.69,True,25.4,76.19999999999999
rail_rear_bolt_left_1,base_floor_left,lumber_leg_left,6.35,152.4,127.0,7.9375,19.0,1.6,5.69,True,25.4,127.0
rail_rear_bolt_left_2,base_floor_left,lumber_leg_left,6.35,152.4,127.0,7.9375,19.0,1.6,5.69,True,25.4,127.0
rail_front_bolt_right_1,base_post_outer_right,base_floor_right,6.35,101.6,76.2,7.9375,19.0,1.6,5.69,True,25.4,76.19999999999999
rail_front_bolt_right_2,base_post_outer_right,base_floor_right,6.35,101.6,76.2,7.9375,19.0,1.6,5.69,True,25.4,76.19999999999999
rail_front_bolt_right_3,base_post_outer_right,base_floor_right,6.35,101.6,76.2,7.9375,19.0,1.6,5.69,True,25.4,76.19999999999999
rail_rear_bolt_right_1,base_floor_right,lumber_leg_right,6.35,152.4,127.0,7.9375,19.0,1.6,5.69,True,25.4,127.0
rail_rear_bolt_right_2,base_floor_right,lumber_leg_right,6.35,152.4,127.0,7.9375,19.0,1.6,5.69,True,25.4,127.0
