label,kind,panel,from_left_mm,from_bottom_mm,diameter_mm
A1,hold,main_lower_left,200.0,99.20000000000005,11.1125
A2,hold,main_lower_left,200.0,299.20000000000005,11.1125
A3,hold,main_lower_left,200.0,499.20000000000005,11.1125
A4,hold,main_lower_left,200.0,699.2,11.1125
A5,hold,main_lower_left,200.0,899.2,11.1125
A6,hold,main_lower_left,200.0,1099.2,11.1125
A7,hold,main_upper_left,200.0,100.0,11.1125
A8,hold,main_upper_left,200.0,300.0,11.1125
A9,hold,main_upper_left,200.0,500.0,11.1125
A10,hold,main_upper_left,200.0,700.0,11.1125
A11,hold,main_upper_left,200.0,899.9999999999998,11.1125
A12,hold,main_upper_left,200.0,1099.9999999999998,11.1125
B1,hold,main_lower_left,400.0,99.20000000000005,11.1125
B2,hold,main_lower_left,400.0,299.20000000000005,11.1125
B3,hold,main_lower_left,400.0,499.20000000000005,11.1125
B4,hold,main_lower_left,400.0,699.2,11.1125
B5,hold,main_lower_left,400.0,899.2,11.1125
B6,hold,main_lower_left,400.0,1099.2,11.1125
B7,hold,main_upper_left,400.0,100.0,11.1125
B8,hold,main_upper_left,400.0,300.0,11.1125
B9,hold,main_upper_left,400.0,500.0,11.1125
B10,hold,main_upper_left,400.0,700.0,11.1125
B11,hold,main_upper_left,400.0,899.9999999999998,11.1125
B12,hold,main_upper_left,400.0,1099.9999999999998,11.1125
C1,hold,main_lower_left,600.0,99.20000000000005,11.1125
C2,hold,main_lower_left,600.0,299.20000000000005,11.1125
C3,hold,main_lower_left,600.0,499.20000000000005,11.1125
C4,hold,main_lower_left,600.0,699.2,11.1125
C5,hold,main_lower_left,600.0,899.2,11.1125
C6,hold,main_lower_left,600.0,1099.2,11.1125
C7,hold,main_upper_left,600.0,100.0,11.1125
C8,hold,main_upper_left,600.0,300.0,11.1125
C9,hold,main_upper_left,600.0,500.0,11.1125
C10,hold,main_upper_left,600.0,700.0,11.1125
C11,hold,main_upper_left,600.0,899.9999999999998,11.1125
C12,hold,main_upper_left,600.0,1099.9999999999998,11.1125
D1,hold,main_lower_left,800.0,99.20000000000005,11.1125
D2,hold,main_lower_left,800.0,299.20000000000005,11.1125
D3,hold,main_lower_left,800.0,499.20000000000005,11.1125
D4,hold,main_lower_left,800.0,699.2,11.1125
D5,hold,main_lower_left,800.0,899.2,11.1125
D6,hold,main_lower_left,800.0,1099.2,11.1125
D7,hold,main_upper_left,800.0,100.0,11.1125
D8,hold,main_upper_left,800.0,300.0,11.1125
D9,hold,main_upper_left,800.0,500.0,11.1125
D10,hold,main_upper_left,800.0,700.0,11.1125
D11,hold,main_upper_left,800.0,899.9999999999998,11.1125
D12,hold,main_upper_left,800.0,1099.9999999999998,11.1125
E1,hold,main_lower_left,1000.0,99.20000000000005,11.1125
E2,hold,main_lower_left,1000.0,299.20000000000005,11.1125
E3,hold,main_lower_left,1000.0,499.20000000000005,11.1125
E4,hold,main_lower_left,1000.0,699.2,11.1125
E5,hold,main_lower_left,1000.0,899.2,11.1125
E6,hold,main_lower_left,1000.0,1099.2,11.1125
E7,hold,main_upper_left,1000.0,100.0,11.1125
E8,hold,main_upper_left,1000.0,300.0,11.1125
