name,first_member,second_member,diameter_mm,length_mm,grip_mm,hole_diameter_mm,washer_od_mm,washer_thickness_mm,nut_height_mm,provisional,thread_length_mm,thread_start_mm
lumber_leg_bolt_left_1,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_left_2,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_right_1,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_right_2,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
rail_front_bolt_left_1,base_post_outer_left,base_floor_left,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
rail_front_bolt_left_2,base_post_outer_left,base_floor_left,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
rail_rear_bolt_left_1,base_floor_left,lumber_leg_left,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,25.4,88.9
rail_rear_bolt_left_2,base_floor_left,lumber_leg_left,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,25.4,88.9
rail_front_bolt_right_1,base_post_outer_right,base_floor_right,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
rail_front_bolt_right_2,base_post_outer_right,base_floor_right,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
rail_rear_bolt_right_1,base_floor_right,lumber_leg_right,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,25.4,88.9
rail_rear_bolt_right_2,base_floor_right,lumber_leg_right,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,25.4,88.9
