name,first_member,second_member,diameter_mm,length_mm,grip_mm,hole_diameter_mm,washer_od_mm,washer_thickness_mm,nut_height_mm,provisional,thread_length_mm,thread_start_mm
lumber_leg_bolt_left_1,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_left_2,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_right_1,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
lumber_leg_bolt_right_2,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,,
knee_bolt_left_rim_1,base_side_left,base_knee_left_rim,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_left_rim_2,base_side_left,base_knee_left_rim,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_left_leg_1,base_knee_left_leg,lumber_leg_left,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_left_leg_2,base_knee_left_leg,lumber_leg_left,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_right_rim_1,base_side_right,base_knee_right_rim,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_right_rim_2,base_side_right,base_knee_right_rim,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_right_leg_1,base_knee_right_leg,lumber_leg_right,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_bolt_right_leg_2,base_knee_right_leg,lumber_leg_right,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,True,25.4,127.0
knee_splice_bolt_left_1,base_knee_left_leg,base_knee_left_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_left_2,base_knee_left_leg,base_knee_left_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_left_3,base_knee_left_leg,base_knee_left_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_left_4,base_knee_left_leg,base_knee_left_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_right_1,base_knee_right_leg,base_knee_right_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_right_2,base_knee_right_leg,base_knee_right_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_right_3,base_knee_right_leg,base_knee_right_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
knee_splice_bolt_right_4,base_knee_right_leg,base_knee_right_rim,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,25.4,76.19999999999999
