connection,member,datum,origin_x_mm,origin_y_mm,origin_z_mm,along_y,along_z,cross_y,cross_z,along_from_corner_mm,signed_cross_from_corner_mm,hole_diameter_mm,instruction
lumber_leg_bolt_left_1,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1826.4864994705965,-82.52612182940453,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_left_1,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1970.5484078470568,50.99364161109975,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_left_2,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1876.4190914468238,-57.173878170595515,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_left_2,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,2020.480999823284,25.641397952290845,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_1,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1219.2,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1826.4864994705965,-82.52612182940453,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_1,base_side_right,Minimum-X side face; lowest along-grain physical profile corner,1130.3000000000002,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1970.5484078470568,50.99364161109975,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_2,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1219.2,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1876.4190914468238,-57.173878170595515,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
lumber_leg_bolt_right_2,base_side_right,Minimum-X side face; lowest along-grain physical profile corner,1130.3000000000002,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,2020.480999823284,25.641397952290845,14.2875,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
knee_bolt_left_rim_1,base_knee_left_rim,Minimum-X side face; lowest along-grain physical profile corner,-1257.3,766.099451121687,1526.8698205062055,0.8117811605452602,-0.5839617687689757,-0.5839617687689757,-0.8117811605452602,108.13844490459863,94.7805959139926,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
knee_bolt_left_rim_1,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1480.8671193153732,38.31751978168893,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
knee_bolt_left_rim_2,base_knee_left_rim,Minimum-X side face; lowest along-grain physical profile corner,-1257.3,766.099451121687,1526.8698205062055,0.8117811605452602,-0.5839617687689757,-0.5839617687689757,-0.8117811605452602,111.86155509540143,44.9194040860075,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
knee_bolt_left_rim_2,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-182.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1530.8671193153732,38.31751978168904,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
knee_bolt_left_leg_1,base_knee_left_leg,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,969.044741258002,1380.8793783139615,0.8117811605452602,-0.5839617687689757,-0.5839617687689757,-0.8117811605452602,488.5398689051526,86.06423793102974,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
knee_bolt_left_leg_1,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1073.5832420544007,-69.84999999999994,11.1125,Axis normal to side face; use profile to identify corner and positive directions. Conditional package dimensions; follow the stated installation assumptions.
