name,first_member,second_member,assessment_status,modeled_diameter_mm,modeled_length_mm,modeled_grip_mm,modeled_hole_diameter_mm,modeled_washer_od_mm,modeled_washer_thickness_mm,modeled_nut_height_mm,catalog_nominal_bolt_diameter_mm,catalog_nominal_bolt_length_mm,specified_bolt_grade,specified_bending_yield_ksi,assumed_washer_yield_ksi,nominal_diameter_acceptance,thread_transition_rule,nut_seating_rule,hardware_reference,catalog_bolt_part,catalog_bolt_size,catalog_nut_part,catalog_washer_part,catalog_min_thread_length_mm,minimum_full_body_through_transition_from_under_head_mm,catalog_washer_min_od_mm,catalog_washer_max_bore_mm,catalog_washer_min_thickness_mm
lumber_leg_bolt_left_1,base_side_left,lumber_leg_left,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,12.7,203.2,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-half-inch-hardware.md,Bolt Depot 407,"1/2-13 x 8 in, partially threaded",Bolt Depot 2573,Bolt Depot 15025,38.1,158.9278,34.7472,14.6558,2.1844
lumber_leg_bolt_left_2,base_side_left,lumber_leg_left,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,12.7,203.2,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-half-inch-hardware.md,Bolt Depot 407,"1/2-13 x 8 in, partially threaded",Bolt Depot 2573,Bolt Depot 15025,38.1,158.9278,34.7472,14.6558,2.1844
lumber_leg_bolt_right_1,base_side_right,lumber_leg_right,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,12.7,203.2,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-half-inch-hardware.md,Bolt Depot 407,"1/2-13 x 8 in, partially threaded",Bolt Depot 2573,Bolt Depot 15025,38.1,158.9278,34.7472,14.6558,2.1844
lumber_leg_bolt_right_2,base_side_right,lumber_leg_right,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,12.7,203.2,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-half-inch-hardware.md,Bolt Depot 407,"1/2-13 x 8 in, partially threaded",Bolt Depot 2573,Bolt Depot 15025,38.1,158.9278,34.7472,14.6558,2.1844
knee_bolt_left_rim_1,base_side_left,base_knee_left_rim,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,120.1166,25.2222,11.5062,1.6256
knee_bolt_left_rim_2,base_side_left,base_knee_left_rim,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,120.1166,25.2222,11.5062,1.6256
knee_bolt_left_leg_1,base_knee_left_leg,lumber_leg_left,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,107.4166,25.2222,11.5062,1.6256
knee_bolt_left_leg_2,base_knee_left_leg,lumber_leg_left,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,107.4166,25.2222,11.5062,1.6256
knee_bolt_right_rim_1,base_side_right,base_knee_right_rim,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,120.1166,25.2222,11.5062,1.6256
knee_bolt_right_rim_2,base_side_right,base_knee_right_rim,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,120.1166,25.2222,11.5062,1.6256
knee_bolt_right_leg_1,base_knee_right_leg,lumber_leg_right,Development package — splice/member cases pass; retained ML24Z/SDS connection gate open,9.525,152.4,127.0,11.1125,25.4,2.032,8.5598,9.525,152.4,SAE J429 Grade 5,90,33,Accept only after delivered bolt passes full-body/transition and nut-seating checks.,Count transition as threaded; threaded bearing must occupy no more than one quarter of each member bearing length.,Nut must seat on washer before runout and retain full usable formed-thread engagement at tip.,docs/compact-splice-hardware.md,Bolt Depot 371,"3/8-16 x 6 in, partially threaded",Bolt Depot 2571,Bolt Depot 15023,25.4,107.4166,25.2222,11.5062,1.6256
