member,blank_length_or_panel_width_mm,blank_depth_or_panel_height_mm,thickness_mm,quantity,detail
main_lower_left,1219.2,1219.2,18.256249999999998,1,Model blank envelope; end profile is specified separately.
main_lower_right,1219.2,1219.2,18.256249999999998,1,Model blank envelope; end profile is specified separately.
main_upper_left,1219.2,1219.2,18.256249999999998,1,Model blank envelope; end profile is specified separately.
main_upper_right,1219.2,1219.2,18.256249999999998,1,Model blank envelope; end profile is specified separately.
kicker_left,1219.2,277.0,18.256249999999998,1,Model blank envelope; end profile is specified separately.
kicker_right,1219.2,277.0,18.256249999999998,1,Model blank envelope; end profile is specified separately.
base_side_left,2608.023990442487,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_side_right,2608.023990442487,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_top,2362.2000000000003,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_header,2438.4,234.95,38.1,1,Model blank envelope; end profile is specified separately.
base_post_outer_left,238.9,234.95,38.1,1,Model blank envelope; end profile is specified separately.
base_post_outer_right,238.9,234.95,38.1,1,Model blank envelope; end profile is specified separately.
lumber_leg_left,1861.8261800209375,139.7,38.1,1,Model blank envelope; end profile is specified separately.
lumber_leg_right,1861.8261800209375,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_principal_center_left,2532.626011836657,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_post_center_left,238.9,234.95,38.1,1,Model blank envelope; end profile is specified separately.
base_principal_center_right,2532.626011836657,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_post_center_right,238.9,234.95,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_bottom_left,1092.0500000000002,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_service_lower_left,1092.0500000000002,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_service_upper_left,1092.0500000000002,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_bottom_right,1092.0500000000002,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_service_lower_right,1092.0500000000002,139.7,38.1,1,Model blank envelope; end profile is specified separately.
base_rail_service_upper_right,1092.0500000000002,139.7,38.1,1,Model blank envelope; end profile is specified separately.
