name,first_member,second_member,diameter_mm,length_mm,grip_mm,hole_diameter_mm,washer_od_mm,washer_thickness_mm,nut_height_mm,provisional,occupied_length_mm,occupied_diameter_mm,shop_opening_kind,shop_finished_opening_min_mm,shop_finished_opening_max_mm,shop_purchased_length_mm,shop_instruction,assessment_status,thread_length_mm,thread_start_mm
lumber_leg_bolt_left_1,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,203.2,12.7,bolt_clearance,13.493749999999999,14.2875,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 14.2875 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,,
lumber_leg_bolt_left_2,base_side_left,lumber_leg_left,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,203.2,12.7,bolt_clearance,13.493749999999999,14.2875,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 14.2875 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,,
lumber_leg_bolt_right_1,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,203.2,12.7,bolt_clearance,13.493749999999999,14.2875,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 14.2875 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,,
lumber_leg_bolt_right_2,base_side_right,lumber_leg_right,12.7,203.2,177.8,14.2875,34.925,3.175,11.5316,True,203.2,12.7,bolt_clearance,13.493749999999999,14.2875,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 14.2875 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,,
rail_front_bolt_left_1,base_post_outer_left,base_floor_left,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,101.6,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,76.19999999999999
rail_front_bolt_left_2,base_post_outer_left,base_floor_left,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,101.6,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,76.19999999999999
rail_rear_bolt_left_1,base_floor_left,lumber_leg_left,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,114.3,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,88.9
rail_rear_bolt_left_2,base_floor_left,lumber_leg_left,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,114.3,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,88.9
rail_front_bolt_right_1,base_post_outer_right,base_floor_right,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,101.6,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,76.19999999999999
rail_front_bolt_right_2,base_post_outer_right,base_floor_right,9.525,101.6,76.2,11.1125,25.4,2.032,8.5598,True,101.6,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,76.19999999999999
rail_rear_bolt_right_1,base_floor_right,lumber_leg_right,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,114.3,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,88.9
rail_rear_bolt_right_2,base_floor_right,lumber_leg_right,9.525,114.3,88.9,11.1125,25.4,2.032,8.5598,True,114.3,9.525,bolt_clearance,10.31875,11.1125,,"NDS §12.1.3 wood clearance D+1/32 to D+1/16 in; CAD occupied hole 11.1125 mm is the upper end, not a bit catalog number.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release,25.4,88.9
