connection,member,datum,origin_x_mm,origin_y_mm,origin_z_mm,along_y,along_z,cross_y,cross_z,along_from_corner_mm,signed_cross_from_corner_mm,hole_diameter_mm,instruction
lumber_leg_bolt_left_1,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-175.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1953.114852921376,59.406036709930845,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_left_1,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1807.7334095709575,-84.83990309354715,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_left_2,base_side_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-175.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,2005.3103573166345,39.11738665812709,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_left_2,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1854.9133046510815,-54.67274379359833,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_right_1,base_side_right,Minimum-X side face; lowest along-grain physical profile corner,1127.1250000000002,-175.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,1953.114852921376,59.406036709930845,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_right_1,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1807.7334095709575,-84.83990309354715,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_right_2,base_side_right,Minimum-X side face; lowest along-grain physical profile corner,1127.1250000000002,-175.70000000000005,277.0,0.6427876096865427,0.7660444431189752,0.7660444431189752,-0.6427876096865427,2005.3103573166345,39.11738665812709,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
lumber_leg_bolt_right_2,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,1854.9133046510815,-54.67274379359833,14.2875,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_left_1,base_post_outer_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-175.7,0.0,0.0,1.0,1.0,0.0,70.17214107156569,70.17214107156568,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_left_1,base_floor_left,Minimum-X side face; lowest along-grain physical profile corner,-1257.3,-175.7,139.7,1.0,0.0,0.0,-1.0,70.17214107156568,69.5278589284343,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_left_2,base_post_outer_left,Minimum-X side face; lowest along-grain physical profile corner,-1219.2,-175.7,0.0,0.0,1.0,1.0,0.0,98.10285892843432,98.1028589284343,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_left_2,base_floor_left,Minimum-X side face; lowest along-grain physical profile corner,-1257.3,-175.7,139.7,1.0,0.0,0.0,-1.0,98.1028589284343,41.59714107156567,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_left_1,base_floor_left,Minimum-X side face; lowest along-grain physical profile corner,-1257.3,-175.7,139.7,1.0,0.0,0.0,-1.0,1726.7,70.69999999999999,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_left_1,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,88.26948504872092,-69.86397394022083,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_left_2,base_floor_left,Minimum-X side face; lowest along-grain physical profile corner,-1257.3,-175.7,139.7,1.0,0.0,0.0,-1.0,1692.7,42.19999999999999,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_left_2,lumber_leg_left,Minimum-X side face; lowest along-grain physical profile corner,-1308.1000000000001,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,124.07363957394155,-96.06154097867163,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_right_1,base_post_outer_right,Minimum-X side face; lowest along-grain physical profile corner,1177.9250000000002,-175.7,0.0,0.0,1.0,1.0,0.0,70.17214107156569,70.17214107156568,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_right_1,base_floor_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,-175.7,139.7,1.0,0.0,0.0,-1.0,70.17214107156568,69.5278589284343,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_right_2,base_post_outer_right,Minimum-X side face; lowest along-grain physical profile corner,1177.9250000000002,-175.7,0.0,0.0,1.0,1.0,0.0,98.10285892843432,98.1028589284343,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_front_bolt_right_2,base_floor_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,-175.7,139.7,1.0,0.0,0.0,-1.0,98.1028589284343,41.59714107156567,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_right_1,base_floor_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,-175.7,139.7,1.0,0.0,0.0,-1.0,1726.7,70.69999999999999,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_right_1,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,88.26948504872092,-69.86397394022083,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_right_2,base_floor_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,-175.7,139.7,1.0,0.0,0.0,-1.0,1692.7,42.19999999999999,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
rail_rear_bolt_right_2,lumber_leg_right,Minimum-X side face; lowest along-grain physical profile corner,1216.025,1639.9464830416932,0.0,-0.23915183196324324,0.9709821838059775,0.9709821838059772,0.2391518319632432,124.07363957394155,-96.06154097867163,11.1125,Draft axis normal to side face; physical corner and signed directions govern. Not a drilling release.
