member,corner,origin_x_mm,origin_y_mm,origin_z_mm,along_from_corner_mm,signed_cross_from_corner_mm,world_x_mm,world_y_mm,world_z_mm,detail,assessment_status
base_floor_left,1,-1257.3,-175.7,139.7,0.0,0.0,-1257.3,-175.7,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_left,2,-1257.3,-175.7,139.7,0.0,139.7,-1257.3,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_left,3,-1257.3,-175.7,139.7,1781.2385284134125,0.0,-1257.3,1605.5385284134125,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_left,4,-1257.3,-175.7,139.7,1815.6464830416933,139.7,-1257.3,1639.9464830416932,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_right,1,1216.025,-175.7,139.7,0.0,0.0,1216.025,-175.7,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_right,2,1216.025,-175.7,139.7,0.0,139.7,1216.025,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_right,3,1216.025,-175.7,139.7,1781.2385284134125,0.0,1216.025,1605.5385284134125,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_floor_right,4,1216.025,-175.7,139.7,1815.6464830416933,139.7,1216.025,1639.9464830416932,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_left,1,-1219.2,-175.7,0.0,0.0,0.0,-1219.2,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_left,2,-1219.2,-175.7,0.0,0.0,139.7,-1219.2,-36.0,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_left,3,-1219.2,-175.7,0.0,238.9,0.0,-1219.2,-175.7,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_left,4,-1219.2,-175.7,0.0,238.9,139.7,-1219.2,-36.0,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_right,1,1177.9250000000002,-175.7,0.0,0.0,0.0,1177.9250000000002,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_right,2,1177.9250000000002,-175.7,0.0,0.0,139.7,1177.9250000000002,-36.0,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_right,3,1177.9250000000002,-175.7,0.0,238.9,0.0,1177.9250000000002,-175.7,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_right,4,1177.9250000000002,-175.7,0.0,238.9,139.7,1177.9250000000002,-36.0,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_left,1,-1219.2,-175.70000000000005,277.0,0.0,0.0,-1219.2,-175.70000000000005,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_left,2,-1219.2,-175.70000000000005,277.0,43.96950010378695,-36.89479132013726,-1219.2,-175.7,334.39810594378,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_left,3,-1219.2,-175.70000000000005,277.0,86.26381268637674,102.80520867986255,-1219.2,-41.497331207980935,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_left,4,-1219.2,-175.70000000000005,277.0,2539.767606047567,-36.89479132014844,-1219.2,1428.5680987797946,2246.2903761488833,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_left,5,-1219.2,-175.70000000000005,277.0,2539.767606047568,102.80520867985138,-1219.2,1535.5845074835156,2156.492947075674,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_right,1,1127.1250000000002,-175.70000000000005,277.0,0.0,0.0,1127.1250000000002,-175.70000000000005,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_right,2,1127.1250000000002,-175.70000000000005,277.0,43.96950010378695,-36.89479132013726,1127.125,-175.7,334.39810594378,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_right,3,1127.1250000000002,-175.70000000000005,277.0,86.26381268637674,102.80520867986255,1127.125,-41.497331207980935,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_right,4,1127.1250000000002,-175.70000000000005,277.0,2539.767606047567,-36.89479132014844,1127.125,1428.5680987797946,2246.2903761488833,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
