member,blank_length_or_panel_width_mm,blank_depth_or_panel_height_mm,thickness_mm,quantity,detail,assessment_status
main_lower_left,1217.6125,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
main_lower_right,1217.6125,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
main_upper_left,1217.6125,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
main_upper_right,1217.6125,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
kicker_left,1217.6125,277.0,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
kicker_right,1217.6125,277.0,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_left,2570.726011836657,139.7,88.90000000000009,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_side_right,2570.726011836657,139.7,88.90000000000009,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_rail_top,2257.4249999999997,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_header,2435.225,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_left,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_outer_right,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
lumber_leg_left,2028.462988356098,139.7,88.9,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
lumber_leg_right,2028.462988356098,139.7,88.9,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_principal_center_left,2532.626011836657,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_post_center_left,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
base_principal_center_right,2532.626011836657,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT kerf-right coordinates — same selected candidate and shop packet; six accepted cases use the official 4×4 analytical width; no second native load study; delivered hardware and fabrication inspection remain; not a fabrication release
