member,corner,origin_x_mm,origin_y_mm,origin_z_mm,along_from_corner_mm,signed_cross_from_corner_mm,world_x_mm,world_y_mm,world_z_mm,detail,assessment_status
base_floor_left,1,-1257.3,-175.7,139.7,0.0,0.0,-1257.3,-175.7,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_left,2,-1257.3,-175.7,139.7,0.0,139.7,-1257.3,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_left,3,-1257.3,-175.7,139.7,1781.2385284134125,0.0,-1257.3,1605.5385284134125,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_left,4,-1257.3,-175.7,139.7,1815.6464830416933,139.7,-1257.3,1639.9464830416932,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_right,1,1219.2,-175.7,139.7,0.0,0.0,1219.2,-175.7,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_right,2,1219.2,-175.7,139.7,0.0,139.7,1219.2,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_right,3,1219.2,-175.7,139.7,1781.2385284134125,0.0,1219.2,1605.5385284134125,139.7,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_floor_right,4,1219.2,-175.7,139.7,1815.6464830416933,139.7,1219.2,1639.9464830416932,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_left,1,-1219.2,-175.7,0.0,0.0,0.0,-1219.2,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_left,2,-1219.2,-175.7,0.0,0.0,139.7,-1219.2,-36.0,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_left,3,-1219.2,-175.7,0.0,238.9,0.0,-1219.2,-175.7,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_left,4,-1219.2,-175.7,0.0,238.9,139.7,-1219.2,-36.0,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_right,1,1181.1000000000001,-175.7,0.0,0.0,0.0,1181.1000000000001,-175.7,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_right,2,1181.1000000000001,-175.7,0.0,0.0,139.7,1181.1000000000001,-36.0,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_right,3,1181.1000000000001,-175.7,0.0,238.9,0.0,1181.1000000000001,-175.7,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_post_outer_right,4,1181.1000000000001,-175.7,0.0,238.9,139.7,1181.1000000000001,-36.0,238.9,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_left,1,-1219.2,-175.70000000000005,277.0,0.0,0.0,-1219.2,-175.70000000000005,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_left,2,-1219.2,-175.70000000000005,277.0,43.96950010378695,-36.89479132013726,-1219.2,-175.7,334.39810594378,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_left,3,-1219.2,-175.70000000000005,277.0,86.26381268637674,102.80520867986255,-1219.2,-41.497331207980935,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_left,4,-1219.2,-175.70000000000005,277.0,2539.767606047567,-36.89479132014844,-1219.2,1428.5680987797946,2246.2903761488833,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_left,5,-1219.2,-175.70000000000005,277.0,2539.767606047568,102.80520867985138,-1219.2,1535.5845074835156,2156.492947075674,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_right,1,1130.3000000000002,-175.70000000000005,277.0,0.0,0.0,1130.3000000000002,-175.70000000000005,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_right,2,1130.3000000000002,-175.70000000000005,277.0,43.96950010378695,-36.89479132013726,1130.3,-175.7,334.39810594378,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_right,3,1130.3000000000002,-175.70000000000005,277.0,86.26381268637674,102.80520867986255,1130.3,-41.497331207980935,277.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_right,4,1130.3000000000002,-175.70000000000005,277.0,2539.767606047567,-36.89479132014844,1130.3,1428.5680987797946,2246.2903761488833,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
base_side_right,5,1130.3000000000002,-175.70000000000005,277.0,2539.767606047568,102.80520867985138,1130.3,1535.5845074835156,2156.492947075674,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_left,1,-1308.1000000000001,1639.9464830416932,0.0,0.0,0.0,-1308.1000000000001,1639.9464830416932,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_left,2,-1308.1000000000001,1639.9464830416932,0.0,34.40795462828085,-139.70000000000016,-1308.1000000000001,1496.0715465805365,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_left,3,-1308.1000000000001,1639.9464830416932,0.0,1886.917692222162,-139.70000000000016,-1308.1000000000001,1053.040449105213,1798.7539505307445,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_left,4,-1308.1000000000001,1639.9464830416932,0.0,1989.026084690172,0.0,-1308.1000000000001,1164.2672510653617,1931.3088913595157,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_right,1,1219.2,1639.9464830416932,0.0,0.0,0.0,1219.2,1639.9464830416932,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_right,2,1219.2,1639.9464830416932,0.0,34.40795462828085,-139.70000000000016,1219.2,1496.0715465805365,0.0,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_right,3,1219.2,1639.9464830416932,0.0,1886.917692222162,-139.70000000000016,1219.2,1053.040449105213,1798.7539505307445,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
lumber_leg_right,4,1219.2,1639.9464830416932,0.0,1989.026084690172,0.0,1219.2,1164.2672510653617,1931.3088913595157,Actual trimmed raw side-profile corner; use outline for perimeter order. Taper removal is separate.,DRAFT — six no-slip cases pass frozen criteria; delivered hardware and fabrication inspection remain; not a drilling release
