member,blank_length_or_panel_width_mm,blank_depth_or_panel_height_mm,thickness_mm,quantity,detail,assessment_status
main_lower_left,1219.2,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
main_lower_right,1219.2,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
main_upper_left,1219.2,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
main_upper_right,1219.2,1219.2,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
kicker_left,1219.2,277.0,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
kicker_right,1219.2,277.0,18.256249999999998,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_side_left,2570.726011836657,139.7,88.90000000000009,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_side_right,2570.726011836657,139.7,88.90000000000009,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_top,2260.6,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_header,2438.4,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_post_outer_left,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_post_outer_right,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
lumber_leg_left,2028.462988356098,139.7,88.9,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
lumber_leg_right,2028.462988356098,139.7,88.9,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_principal_center_left,2532.626011836657,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_post_center_left,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_principal_center_right,2532.626011836657,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_post_center_right,238.9,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_bottom_left,1041.25,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_service_lower_left,1041.25,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_service_upper_left,1041.25,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_bottom_right,1041.25,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_service_lower_right,1041.25,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_rail_service_upper_right,1041.25,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_floor_left,1815.6464830416933,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
base_floor_right,1815.6464830416933,139.7,38.1,1,"Stock blank allowance, not finished cut length; actual trimmed corners in stock-profiles.json and profile-corner-datums.csv.",DRAFT — current geometry only; resistance and fabrication checks pending; not a drilling release
