bracket,beam_member,upright_member,origin_world_mm,origin_world_in,u_world,v_world,bend_axis_world,beam_grain_world_assumed,upright_grain_world_assumed,bend_dot_beam_grain_abs,bend_dot_upright_grain_abs,beam_screw_dot_grain_abs,upright_screw_dot_grain_abs,screws,qualification
clip_timber_top_left_1,base_rail_top,base_side_left,"[-1181.1000000000001, 1442.9929485611815, 2132.450472293974]","[-46.50000000000001, 56.810746006345724, 83.95474300369978]","[1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, 0.7660444431189752, -0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_top_left_1_beam_1"", ""clip_timber_top_left_1_beam_2"", ""clip_timber_top_left_1_beam_3"", ""clip_timber_top_left_1_upright_1"", ""clip_timber_top_left_1_upright_2"", ""clip_timber_top_left_1_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_top_left_2,base_rail_top,base_principal_left,"[-127.0, 1442.9929485611815, 2132.450472293974]","[-5.0, 56.810746006345724, 83.95474300369978]","[-1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, -0.7660444431189752, 0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_top_left_2_beam_1"", ""clip_timber_top_left_2_beam_2"", ""clip_timber_top_left_2_beam_3"", ""clip_timber_top_left_2_upright_1"", ""clip_timber_top_left_2_upright_2"", ""clip_timber_top_left_2_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_top_right_1,base_rail_top,base_principal_right,"[88.9, 1442.9929485611815, 2132.450472293974]","[3.5, 56.810746006345724, 83.95474300369978]","[1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, 0.7660444431189752, -0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_top_right_1_beam_1"", ""clip_timber_top_right_1_beam_2"", ""clip_timber_top_right_1_beam_3"", ""clip_timber_top_right_1_upright_1"", ""clip_timber_top_right_1_upright_2"", ""clip_timber_top_right_1_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_top_right_2,base_rail_top,base_side_right,"[1181.1000000000001, 1442.9929485611815, 2132.450472293974]","[46.50000000000001, 56.810746006345724, 83.95474300369978]","[-1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, -0.7660444431189752, 0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_top_right_2_beam_1"", ""clip_timber_top_right_2_beam_2"", ""clip_timber_top_right_2_beam_3"", ""clip_timber_top_right_2_upright_1"", ""clip_timber_top_right_2_upright_2"", ""clip_timber_top_right_2_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_mid_lower_left_1,base_rail_mid_lower_left,base_side_left,"[-1181.1000000000001, 659.3062948313528, 1198.4890872433161]","[-46.50000000000001, 25.956940741391843, 47.18460973398882]","[1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, 0.7660444431189752, -0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_mid_lower_left_1_beam_1"", ""clip_timber_mid_lower_left_1_beam_2"", ""clip_timber_mid_lower_left_1_beam_3"", ""clip_timber_mid_lower_left_1_upright_1"", ""clip_timber_mid_lower_left_1_upright_2"", ""clip_timber_mid_lower_left_1_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_mid_lower_left_2,base_rail_mid_lower_left,base_principal_left,"[-127.0, 659.3062948313528, 1198.4890872433161]","[-5.0, 25.956940741391843, 47.18460973398882]","[-1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, -0.7660444431189752, 0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_mid_lower_left_2_beam_1"", ""clip_timber_mid_lower_left_2_beam_2"", ""clip_timber_mid_lower_left_2_beam_3"", ""clip_timber_mid_lower_left_2_upright_1"", ""clip_timber_mid_lower_left_2_upright_2"", ""clip_timber_mid_lower_left_2_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_mid_lower_right_1,base_rail_mid_lower_right,base_principal_right,"[88.9, 659.3062948313528, 1198.4890872433161]","[3.5, 25.956940741391843, 47.18460973398882]","[1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, 0.7660444431189752, -0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_mid_lower_right_1_beam_1"", ""clip_timber_mid_lower_right_1_beam_2"", ""clip_timber_mid_lower_right_1_beam_3"", ""clip_timber_mid_lower_right_1_upright_1"", ""clip_timber_mid_lower_right_1_upright_2"", ""clip_timber_mid_lower_right_1_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_mid_lower_right_2,base_rail_mid_lower_right,base_side_right,"[1181.1000000000001, 659.3062948313528, 1198.4890872433161]","[46.50000000000001, 25.956940741391843, 47.18460973398882]","[-1.0, 0.0, 0.0]","[-0.0, -0.6427876096865427, -0.7660444431189752]","[0.0, -0.7660444431189752, 0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_mid_lower_right_2_beam_1"", ""clip_timber_mid_lower_right_2_beam_2"", ""clip_timber_mid_lower_right_2_beam_3"", ""clip_timber_mid_lower_right_2_upright_1"", ""clip_timber_mid_lower_right_2_upright_2"", ""clip_timber_mid_lower_right_2_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_mid_upper_left_1,base_rail_mid_upper_left,base_side_left,"[-1181.1000000000001, 708.286710689467, 1256.8616738089822]","[-46.50000000000001, 27.885303570451455, 49.48274306334576]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]","[0.0, -0.7660444431189752, 0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_mid_upper_left_1_beam_1"", ""clip_timber_mid_upper_left_1_beam_2"", ""clip_timber_mid_upper_left_1_beam_3"", ""clip_timber_mid_upper_left_1_upright_1"", ""clip_timber_mid_upper_left_1_upright_2"", ""clip_timber_mid_upper_left_1_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
clip_timber_mid_upper_left_2,base_rail_mid_upper_left,base_principal_left,"[-127.0, 708.286710689467, 1256.8616738089822]","[-5.0, 27.885303570451455, 49.48274306334576]","[-1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]","[0.0, 0.7660444431189752, -0.6427876096865427]","[1.0, 0.0, 0.0]","[0.0, 0.6427876096865427, 0.7660444431189752]",0.0,0.0,0.0,0.0,"[""clip_timber_mid_upper_left_2_beam_1"", ""clip_timber_mid_upper_left_2_beam_2"", ""clip_timber_mid_upper_left_2_beam_3"", ""clip_timber_mid_upper_left_2_upright_1"", ""clip_timber_mid_upper_left_2_upright_2"", ""clip_timber_mid_upper_left_2_upright_3""]","F1 axis only; F2/F3/F4 signs, installation, joint demand and resistance unresolved"
