connection,part,operation,diameter_mm,diameter_in,axis_origin_local_mm,axis_direction_local,raw_entry_local_mm,raw_exit_local_mm,raw_entry_local_in,raw_exit_local_in,signed_raw_intervals_from_hardware_origin_mm,machining_depth_mm,note
clip_timber_top_left_1_beam_1,base_rail_top,factory_clip_screw_axis,,,"[42.24273999999991, -2.555240000001227, 127.0000000000002]","[0.0, 1.0, -4.440892098500626e-15]","[[42.24273999999991, -1.0942358130705543e-12, 127.00000000000026]]","[[42.24273999999991, 38.099999999998005, 126.9999999999999]]","[[1.6630999999999967, -4.308015012088797e-14, 5.000000000000011]]","[[1.6630999999999967, 1.4999999999999216, 4.9999999999999964]]","[[2.5552399999999365, 40.65523999999939]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_1_beam_2,base_rail_top,factory_clip_screw_axis,,,"[35.89274, -2.5552400000011914, 88.9000000000001]","[0.0, 1.0, -4.440892098500626e-15]","[[35.89274, -4.192202140984591e-13, 88.90000000000012]]","[[35.89274, 38.09999999999903, 88.90000000000005]]","[[1.4131000000000002, -1.6504732838522014e-14, 3.500000000000005]]","[[1.4131000000000002, 1.4999999999999618, 3.500000000000002]]","[[2.5552400000006332, 40.655240000000084]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_1_beam_3,base_rail_top,factory_clip_screw_axis,,,"[42.24273999999991, -2.555240000001156, 50.80000000000002]","[0.0, 1.0, -4.440892098500626e-15]","[[42.24273999999991, -2.3447910280083306e-13, 50.79999999999986]]","[[42.24273999999991, 38.09999999999922, 50.799999999999784]]","[[1.6630999999999967, -9.231460740190279e-15, 1.9999999999999947]]","[[1.6630999999999967, 1.4999999999999694, 1.9999999999999916]]","[[2.555240000000982, 40.65524000000043]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_1_upright_1,base_side_left,factory_clip_screw_axis,,,"[40.65523999999982, 2534.0312504424865, 127.00000000000045]","[-1.0, -0.0, 0.0]","[[38.100000000000136, 2534.0312504424865, 127.00000000000045]]","[[-2.2737367544323206e-13, 2534.0312504424865, 127.00000000000045]]","[[1.5000000000000056, 99.76500985994042, 5.000000000000018]]","[[-8.951719505639057e-15, 99.76500985994042, 5.000000000000018]]","[[2.555239999999685, 40.65524000000005]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_1_upright_2,base_side_left,factory_clip_screw_axis,,,"[40.65523999999982, 2527.681250442487, 88.90000000000032]","[-1.0, -0.0, 0.0]","[[38.100000000000136, 2527.681250442487, 88.90000000000032]]","[[-2.2737367544323206e-13, 2527.681250442487, 88.90000000000032]]","[[1.5000000000000056, 99.51500985994043, 3.500000000000013]]","[[-8.951719505639057e-15, 99.51500985994043, 3.500000000000013]]","[[2.555239999999685, 40.65524000000005]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_1_upright_3,base_side_left,factory_clip_screw_axis,,,"[40.65523999999982, 2534.0312504424865, 50.80000000000018]","[-1.0, -0.0, 0.0]","[[38.100000000000136, 2534.0312504424865, 50.80000000000018]]","[[-2.2737367544323206e-13, 2534.0312504424865, 50.80000000000018]]","[[1.5000000000000056, 99.76500985994042, 2.000000000000007]]","[[-8.951719505639057e-15, 99.76500985994042, 2.000000000000007]]","[[2.555239999999685, 40.65524000000005]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_2_beam_1,base_rail_top,factory_clip_screw_axis,,,"[1011.8572600000001, -2.555240000001156, 50.80000000000002]","[0.0, 1.0, -4.440892098500626e-15]","[[1011.8572600000001, -2.3447910280083306e-13, 50.79999999999986]]","[[1011.8572600000001, 38.09999999999922, 50.799999999999784]]","[[39.83690000000001, -9.231460740190279e-15, 1.9999999999999947]]","[[39.83690000000001, 1.4999999999999694, 1.9999999999999916]]","[[2.555240000000982, 40.65524000000043]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_2_beam_2,base_rail_top,factory_clip_screw_axis,,,"[1018.2072600000001, -2.5552400000011914, 88.9000000000001]","[0.0, 1.0, -4.440892098500626e-15]","[[1018.2072600000001, -4.192202140984591e-13, 88.90000000000012]]","[[1018.2072600000001, 38.09999999999903, 88.90000000000005]]","[[40.08690000000001, -1.6504732838522014e-14, 3.500000000000005]]","[[40.08690000000001, 1.4999999999999618, 3.500000000000002]]","[[2.5552400000006332, 40.655240000000084]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_2_beam_3,base_rail_top,factory_clip_screw_axis,,,"[1011.8572600000001, -2.555240000001227, 127.0000000000002]","[0.0, 1.0, -4.440892098500626e-15]","[[1011.8572600000001, -1.0942358130705543e-12, 127.00000000000026]]","[[1011.8572600000001, 38.099999999998005, 126.9999999999999]]","[[39.83690000000001, -4.308015012088797e-14, 5.000000000000011]]","[[39.83690000000001, 1.4999999999999216, 4.9999999999999964]]","[[2.5552399999999365, 40.65523999999939]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
clip_timber_top_left_2_upright_1,base_principal_left,factory_clip_screw_axis,,,"[-2.5552399999999977, 2496.733271836657, 50.80000000000018]","[1.0, 0.0, 0.0]","[[0.0, 2496.733271836657, 50.80000000000018]]","[[88.89999999999964, 2496.733271836657, 50.80000000000018]]","[[0.0, 98.29658550538021, 2.000000000000007]]","[[3.499999999999986, 98.29658550538021, 2.000000000000007]]","[[2.5552399999999977, 91.45523999999963]]",,Transfer through actual ML24Z factory holes; no invented SDS pilot diameter/depth
