part,family,axis_labels,axes_world,origin_world_mm,extents_mm,extents_in,datum_note
main_lower_left,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1219.2, -17.803701111450792, 224.83528567501799]","[1219.2, 1219.2, 18.25625000000005]","[48.00000000000001, 48.00000000000001, 0.7187500000000021]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
main_lower_right,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[0.0, -17.803701111450792, 224.83528567501799]","[1219.2, 1219.2, 18.25625000000005]","[48.00000000000001, 48.00000000000001, 0.7187500000000021]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
main_upper_left,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1219.2, 765.8829526183781, 1158.7966707256762]","[1219.2, 1219.2000000000007, 18.25625000000025]","[48.00000000000001, 48.00000000000003, 0.7187500000000099]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
main_upper_right,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[0.0, 765.8829526183781, 1158.7966707256762]","[1219.2, 1219.2000000000007, 18.25625000000025]","[48.00000000000001, 48.00000000000003, 0.7187500000000099]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
kicker_left,kicker,"[""X"", ""Z"", ""minus_Y""]","[[1.0, 0.0, 0.0], [0.0, 0.0, 1.0], [0.0, -1.0, 0.0]]","[-1219.2, -17.743750000000002, 0.0]","[1219.2, 225.0, 18.256249999999998]","[48.00000000000001, 8.858267716535433, 0.71875]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
kicker_right,kicker,"[""X"", ""Z"", ""minus_Y""]","[[1.0, 0.0, 0.0], [0.0, 0.0, 1.0], [0.0, -1.0, 0.0]]","[0.0, -17.743750000000002, 0.0]","[1219.2, 225.0, 18.256249999999998]","[48.00000000000001, 8.858267716535433, 0.71875]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_side_left,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1219.2, -140.82099933816016, 106.63066167622384]","[38.09999999999991, 2608.023990442487, 184.15000000000015]","[1.4999999999999964, 102.67810985994043, 7.250000000000006]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_side_right,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[1181.1000000000001, -140.82099933816016, 106.63066167622384]","[38.100000000000136, 2608.023990442487, 184.15000000000015]","[1.5000000000000056, 102.67810985994043, 7.250000000000006]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_principal_left,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-127.0, -116.84632082397886, 135.20257092679032]","[88.90000000000009, 2532.626011836657, 139.70000000000047]","[3.500000000000004, 99.70968550538021, 5.500000000000019]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_principal_right,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[0.0, -116.84632082397886, 135.20257092679032]","[88.90000000000009, 2532.626011836657, 139.70000000000047]","[3.500000000000004, 99.70968550538021, 5.500000000000019]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_rail_top,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1181.1000000000001, 1511.0942995544592, 2075.306653792841]","[2362.2000000000003, 38.100000000000364, 139.70000000000027]","[93.00000000000001, 1.5000000000000144, 5.500000000000011]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_rail_mid_lower_left,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1181.1000000000001, 727.4076458246302, 1141.345268742183]","[1054.1000000000001, 38.09999999999991, 139.70000000000005]","[41.50000000000001, 1.4999999999999964, 5.500000000000002]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_rail_mid_lower_right,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[88.90000000000009, 727.4076458246302, 1141.345268742183]","[1092.2, 38.09999999999991, 139.70000000000005]","[43.00000000000001, 1.4999999999999964, 5.500000000000002]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_rail_mid_upper_left,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1181.1000000000001, 751.8978537536872, 1170.531562025016]","[1054.1000000000001, 38.09999999999991, 139.7000000000001]","[41.50000000000001, 1.4999999999999964, 5.500000000000004]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_rail_mid_upper_right,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[88.90000000000009, 751.8978537536872, 1170.531562025016]","[1092.2, 38.09999999999991, 139.7000000000001]","[43.00000000000001, 1.4999999999999964, 5.500000000000004]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_header,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-1219.2, -321.75, 186.9]","[2438.4, 285.75, 38.099999999999994]","[96.00000000000001, 11.25, 1.4999999999999998]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_post_outer_left,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-1219.2, -321.75, 0.0]","[38.09999999999991, 285.75, 186.9]","[1.4999999999999964, 11.25, 7.358267716535433]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_post_outer_right,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[1181.1000000000001, -321.75, 0.0]","[38.09999999999991, 285.75, 186.9]","[1.4999999999999964, 11.25, 7.358267716535433]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
