part,vertex,u_mm,v_mm,w_mm,u_in,v_in,w_in
main_lower_left,1,0.0,-0.0,-0.0,0.0,-0.0,-0.0
main_lower_left,2,0.0,-0.0,18.25625,0.0,-0.0,0.7187500000000001
main_lower_left,3,0.0,1219.2,0.0,0.0,48.00000000000001,0.0
main_lower_left,4,0.0,1219.2,18.25625,0.0,48.00000000000001,0.7187500000000001
main_lower_left,5,1219.2,-0.0,-0.0,48.00000000000001,-0.0,-0.0
main_lower_left,6,1219.2,-0.0,18.25625,48.00000000000001,-0.0,0.7187500000000001
main_lower_left,7,1219.2,1219.2,0.0,48.00000000000001,48.00000000000001,0.0
main_lower_left,8,1219.2,1219.2,18.25625,48.00000000000001,48.00000000000001,0.7187500000000001
main_lower_right,1,0.0,-0.0,-0.0,0.0,-0.0,-0.0
main_lower_right,2,0.0,-0.0,18.25625,0.0,-0.0,0.7187500000000001
main_lower_right,3,0.0,1219.2,0.0,0.0,48.00000000000001,0.0
main_lower_right,4,0.0,1219.2,18.25625,0.0,48.00000000000001,0.7187500000000001
main_lower_right,5,1219.2,-0.0,-0.0,48.00000000000001,-0.0,-0.0
main_lower_right,6,1219.2,-0.0,18.25625,48.00000000000001,-0.0,0.7187500000000001
main_lower_right,7,1219.2,1219.2,0.0,48.00000000000001,48.00000000000001,0.0
main_lower_right,8,1219.2,1219.2,18.25625,48.00000000000001,48.00000000000001,0.7187500000000001
main_upper_left,1,0.0,-0.0,0.0,0.0,-0.0,0.0
main_upper_left,2,0.0,-0.0,18.25625,0.0,-0.0,0.7187500000000001
main_upper_left,3,0.0,1219.2,-0.0,0.0,48.00000000000001,-0.0
main_upper_left,4,0.0,1219.2,18.25625,0.0,48.00000000000001,0.7187500000000001
main_upper_left,5,1219.2,-0.0,0.0,48.00000000000001,-0.0,0.0
main_upper_left,6,1219.2,-0.0,18.25625,48.00000000000001,-0.0,0.7187500000000001
main_upper_left,7,1219.2,1219.2,-0.0,48.00000000000001,48.00000000000001,-0.0
main_upper_left,8,1219.2,1219.2,18.25625,48.00000000000001,48.00000000000001,0.7187500000000001
main_upper_right,1,0.0,-0.0,0.0,0.0,-0.0,0.0
main_upper_right,2,0.0,-0.0,18.25625,0.0,-0.0,0.7187500000000001
main_upper_right,3,0.0,1219.2,-0.0,0.0,48.00000000000001,-0.0
main_upper_right,4,0.0,1219.2,18.25625,0.0,48.00000000000001,0.7187500000000001
main_upper_right,5,1219.2,-0.0,0.0,48.00000000000001,-0.0,0.0
main_upper_right,6,1219.2,-0.0,18.25625,48.00000000000001,-0.0,0.7187500000000001
main_upper_right,7,1219.2,1219.2,-0.0,48.00000000000001,48.00000000000001,-0.0
main_upper_right,8,1219.2,1219.2,18.25625,48.00000000000001,48.00000000000001,0.7187500000000001
kicker_left,1,0.0,0.0,0.0,0.0,0.0,0.0
kicker_left,2,0.0,0.0,18.25625,0.0,0.0,0.7187500000000001
kicker_left,3,0.0,224.83528568,0.05995111,0.0,8.851782900787402,0.0023602799212598426
kicker_left,4,0.0,224.90673263,0.0,0.0,8.854595772834646,0.0
kicker_left,5,0.0,225.0,0.25625,0.0,8.858267716535433,0.010088582677165354
kicker_left,6,0.0,225.0,18.25625,0.0,8.858267716535433,0.7187500000000001
kicker_left,7,1219.2,0.0,0.0,48.00000000000001,0.0,0.0
kicker_left,8,1219.2,0.0,18.25625,48.00000000000001,0.0,0.7187500000000001
kicker_left,9,1219.2,224.83528568,0.05995111,48.00000000000001,8.851782900787402,0.0023602799212598426
kicker_left,10,1219.2,224.90673263,0.0,48.00000000000001,8.854595772834646,0.0
kicker_left,11,1219.2,225.0,0.25625,48.00000000000001,8.858267716535433,0.010088582677165354
kicker_left,12,1219.2,225.0,18.25625,48.00000000000001,8.858267716535433,0.7187500000000001
kicker_right,1,0.0,0.0,0.0,0.0,0.0,0.0
kicker_right,2,0.0,0.0,18.25625,0.0,0.0,0.7187500000000001
kicker_right,3,0.0,224.83528568,0.05995111,0.0,8.851782900787402,0.0023602799212598426
kicker_right,4,0.0,224.90673263,0.0,0.0,8.854595772834646,0.0
kicker_right,5,0.0,225.0,0.25625,0.0,8.858267716535433,0.010088582677165354
kicker_right,6,0.0,225.0,18.25625,0.0,8.858267716535433,0.7187500000000001
kicker_right,7,1219.2,0.0,0.0,48.00000000000001,0.0,0.0
kicker_right,8,1219.2,0.0,18.25625,48.00000000000001,0.0,0.7187500000000001
kicker_right,9,1219.2,224.83528568,0.05995111,48.00000000000001,8.851782900787402,0.0023602799212598426
kicker_right,10,1219.2,224.90673263,0.0,48.00000000000001,8.854595772834646,0.0
kicker_right,11,1219.2,225.0,0.25625,48.00000000000001,8.858267716535433,0.010088582677165354
kicker_right,12,1219.2,225.0,18.25625,48.00000000000001,8.858267716535433,0.7187500000000001
base_side_left,1,0.0,-0.0,184.15,0.0,-0.0,7.250000000000001
base_side_left,2,0.0,154.52019708,0.0,0.0,6.0834723259842525,0.0
base_side_left,3,0.0,2608.02399044,0.0,0.0,102.67810985984252,0.0
base_side_left,4,0.0,2608.02399044,184.15,0.0,102.67810985984252,7.250000000000001
base_side_left,5,38.1,-0.0,184.15,1.5000000000000002,-0.0,7.250000000000001
base_side_left,6,38.1,154.52019708,0.0,1.5000000000000002,6.0834723259842525,0.0
base_side_left,7,38.1,2608.02399044,0.0,1.5000000000000002,102.67810985984252,0.0
base_side_left,8,38.1,2608.02399044,184.15,1.5000000000000002,102.67810985984252,7.250000000000001
base_side_right,1,0.0,-0.0,184.15,0.0,-0.0,7.250000000000001
base_side_right,2,0.0,154.52019708,0.0,0.0,6.0834723259842525,0.0
base_side_right,3,0.0,2608.02399044,0.0,0.0,102.67810985984252,0.0
base_side_right,4,0.0,2608.02399044,184.15,0.0,102.67810985984252,7.250000000000001
base_side_right,5,38.1,-0.0,184.15,1.5000000000000002,-0.0,7.250000000000001
base_side_right,6,38.1,154.52019708,0.0,1.5000000000000002,6.0834723259842525,0.0
base_side_right,7,38.1,2608.02399044,0.0,1.5000000000000002,102.67810985984252,0.0
base_side_right,8,38.1,2608.02399044,184.15,1.5000000000000002,102.67810985984252,7.250000000000001
base_principal_left,1,0.0,-0.0,139.7,0.0,-0.0,5.5
base_principal_left,2,0.0,117.22221848,0.0,0.0,4.615047971653543,0.0
base_principal_left,3,0.0,132.32601184,0.0,0.0,5.209685505511811,0.0
base_principal_left,4,0.0,132.32601184,38.1,0.0,5.209685505511811,1.5000000000000002
base_principal_left,5,0.0,221.22601184,0.0,0.0,8.709685505511812,0.0
base_principal_left,6,0.0,221.22601184,38.1,0.0,8.709685505511812,1.5000000000000002
base_principal_left,7,0.0,2532.62601184,0.0,0.0,99.70968550551181,0.0
base_principal_left,8,0.0,2532.62601184,139.7,0.0,99.70968550551181,5.5
base_principal_left,9,88.9,-0.0,139.7,3.5000000000000004,-0.0,5.5
base_principal_left,10,88.9,117.22221848,0.0,3.5000000000000004,4.615047971653543,0.0
base_principal_left,11,88.9,132.32601184,0.0,3.5000000000000004,5.209685505511811,0.0
base_principal_left,12,88.9,132.32601184,38.1,3.5000000000000004,5.209685505511811,1.5000000000000002
base_principal_left,13,88.9,221.22601184,0.0,3.5000000000000004,8.709685505511812,0.0
base_principal_left,14,88.9,221.22601184,38.1,3.5000000000000004,8.709685505511812,1.5000000000000002
base_principal_left,15,88.9,2532.62601184,0.0,3.5000000000000004,99.70968550551181,0.0
base_principal_left,16,88.9,2532.62601184,139.7,3.5000000000000004,99.70968550551181,5.5
base_principal_right,1,0.0,-0.0,139.7,0.0,-0.0,5.5
base_principal_right,2,0.0,117.22221848,0.0,0.0,4.615047971653543,0.0
base_principal_right,3,0.0,132.32601184,0.0,0.0,5.209685505511811,0.0
base_principal_right,4,0.0,132.32601184,38.1,0.0,5.209685505511811,1.5000000000000002
base_principal_right,5,0.0,221.22601184,0.0,0.0,8.709685505511812,0.0
base_principal_right,6,0.0,221.22601184,38.1,0.0,8.709685505511812,1.5000000000000002
base_principal_right,7,0.0,2532.62601184,0.0,0.0,99.70968550551181,0.0
base_principal_right,8,0.0,2532.62601184,139.7,0.0,99.70968550551181,5.5
base_principal_right,9,88.9,-0.0,139.7,3.5000000000000004,-0.0,5.5
base_principal_right,10,88.9,117.22221848,0.0,3.5000000000000004,4.615047971653543,0.0
