item,product,quantity,nominal_length_mm,nominal_length_in,source_url,qualification
bolt,Conquest-family 3/8-16 A307 Grade A plain hex bolt,6,63.5,2.5,https://www.fastenersplus.com/cdn/shop/files/CQ-Hex-Head-Bolts-Spec-Sheet.pdf?v=17509241941931126534,"Nominal candidate length; verify exact orderable SKU, thread engagement and connection resistance"
bolt,Conquest-family 3/8-16 A307 Grade A plain hex bolt,8,76.2,3.0,https://www.fastenersplus.com/cdn/shop/files/CQ-Hex-Head-Bolts-Spec-Sheet.pdf?v=17509241941931126534,"Nominal candidate length; verify exact orderable SKU, thread engagement and connection resistance"
bolt,Conquest-family 3/8-16 A307 Grade A plain hex bolt,8,95.25,3.75,https://www.fastenersplus.com/cdn/shop/files/CQ-Hex-Head-Bolts-Spec-Sheet.pdf?v=17509241941931126534,"Nominal candidate length; verify exact orderable SKU, thread engagement and connection resistance"
bolt,Conquest-family 3/8-16 A307 Grade A plain hex bolt,2,152.4,6.0,https://www.fastenersplus.com/cdn/shop/files/CQ-Hex-Head-Bolts-Spec-Sheet.pdf?v=17509241941931126534,"Nominal candidate length; verify exact orderable SKU, thread engagement and connection resistance"
nut,FMW 3/8-16 ASTM A563 Grade A finished hex nut zinc,24,,,https://www.fmwfasteners.com/products/3-8-16-grade-2-finished-hex-nut-zinc-plated,"One per bolt; fit, tightening and locking practice unqualified"
washer,CDE 599192 3/8 SAE carbon-steel zinc washer,48,,,https://cdefasteners.com/sites/default/files/product-specs/washerssae.pdf,Two per bolt; washer material certificate and bending resistance unqualified; not F844-certified
insert,E-Z LOK 801420-13,56,13.0048,0.512,https://www.ezlok.com/ezhex-insert-801420-13,"Effective engagement, torque and wood anchorage unqualified"
machine screw,L.H. Dottie FMDD14114 1/4-20 flat head,56,31.75,1.25,https://lhdottie.com/14-20-flat-head-squarephillips/fmdd14114,"Length includes head; engagement, seating and panel pull-through unqualified"
angle,Simpson Strong-Tie ML24Z,18,,,https://ssttoolbox.widen.net/content/iczmiabsx6/pdf/L-C-MLZ25.pdf,Installation orientation and resistance unqualified; screws purchased separately
connector screw,Simpson Strong-Tie SDS25112 1/4 x1-1/2 in,108,38.1,1.5,https://ssttoolbox.widen.net/content/iczmiabsx6/pdf/L-C-MLZ25.pdf,Six per ML24Z; installation and directional resistance unqualified
