pair_index,set_pair,pair_id,category,master_owner,slave_owner,reports_observed,report_state,cf_force_x_n,cf_force_y_n,cf_force_z_n,cf_force_magnitude_n,cf_centroid_x_mm,cf_centroid_y_mm,cf_centroid_z_mm,cf_mean_normal_x,cf_mean_normal_y,cf_mean_normal_z,cf_area_mm2,cf_normal_force_signed_n,cf_shear_force_magnitude_n,cfn_force_x_n,cfn_force_y_n,cfn_force_z_n,cfn_centroid_xyz_mm,cfn_mean_normal_xyz,cfn_area_mm2,cfn_normal_force_signed_n,cfn_shear_force_magnitude_n,cfn_duplicate_of_cf,cfs_force_x_n,cfs_force_y_n,cfs_force_z_n,cfs_centroid_xyz_mm,cfs_mean_normal_xyz,cfs_area_mm2,cfs_normal_force_signed_n,cfs_shear_force_magnitude_n,cfs_force_zero,cf_fields_complete,complete_triplet
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,3,3_of_3,9.172473e-17,0.0002489072,0.000296636,0.0003872308235508119,114.7568,22.46835,445.3811,-9.538769e-14,-0.6427876,-0.7660444,268.4104,-0.0003872308,3.184988e-16,9.172473e-17,0.0002489072,0.000296636,"[114.7568, 22.46835, 445.3811]","[-9.538769e-14, -0.6427876, -0.7660444]",268.4104,-0.0003872308,3.184988e-16,True,0.0,0.0,0.0,"[114.7568, 22.46835, 445.3811]","[-9.538769e-14, -0.6427876, -0.7660444]",268.4104,-0.0,0.0,True,True,True
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,3,3_of_3,0.002506931,-8.320125e-18,-2.69594e-18,0.002506931,89.05,63.87367,472.7163,-1.0,-6.976555e-17,-1.588798e-17,1290.081,-0.002506931,8.924676e-18,0.002506931,-8.320125e-18,-2.69594e-18,"[89.05, 63.87367, 472.7163]","[-1.0, -6.976555e-17, -1.588798e-17]",1290.081,-0.002506931,8.924676e-18,True,0.0,0.0,0.0,"[89.05, 63.87367, 472.7163]","[-1.0, -6.976555e-17, -1.588798e-17]",1290.081,-0.0,0.0,True,True,True
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,3,3_of_3,0.007460538,2.348462e-18,1.266474e-18,0.007460538,89.05,-34.11034,465.9732,-1.0,-8.267705e-17,-1.646288e-16,195.4264,-0.007460538,1.732069e-18,0.007460538,2.348462e-18,1.266474e-18,"[89.05, -34.11034, 465.9732]","[-1.0, -8.267705e-17, -1.646288e-16]",195.4264,-0.007460538,1.732069e-18,True,0.0,0.0,0.0,"[89.05, -34.11034, 465.9732]","[-1.0, -8.267705e-17, -1.646288e-16]",195.4264,-0.0,0.0,True,True,True
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,3,3_of_3,2.016365e-18,-0.0001059173,-0.0001262273,0.00016477804982636493,134.3992,85.51227,511.1843,-8.712387e-15,0.6427876,0.7660444,19.73607,-0.0001647781,1.534569e-18,2.016365e-18,-0.0001059173,-0.0001262273,"[134.3992, 85.51227, 511.1843]","[-8.712387e-15, 0.6427876, 0.7660444]",19.73607,-0.0001647781,1.534569e-18,True,0.0,0.0,0.0,"[134.3992, 85.51227, 511.1843]","[-8.712387e-15, 0.6427876, 0.7660444]",19.73607,0.0,0.0,True,True,True
5,WJCP_005,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M01_A00_HEAD_WASHER,3,3_of_3,-1.54321e-17,0.0001065706,0.0001270059,0.00016579442517518494,135.0585,84.65476,509.2513,-3.844216e-13,-0.6427876,-0.7660444,61.14167,-0.0001657945,9.060291e-17,-1.54321e-17,0.0001065706,0.0001270059,"[135.0585, 84.65476, 509.2513]","[-3.844216e-13, -0.6427876, -0.7660444]",61.14167,-0.0001657945,9.060291e-17,True,0.0,0.0,0.0,"[135.0585, 84.65476, 509.2513]","[-3.844216e-13, -0.6427876, -0.7660444]",61.14167,-0.0,0.0,True,True,True
6,WJCP_006,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_nut,nut_washer_to_nut,M03_A00_NUT,M02_A00_NUT_WASHER,3,3_of_3,-2.710199e-18,9.888899e-05,0.0001178513,0.00015384395098576382,136.0867,2.065155,410.1129,8.513376e-15,-0.6427876,-0.7660444,13.09333,-0.000153844,9.965618e-18,-2.710199e-18,9.888899e-05,0.0001178513,"[136.0867, 2.065155, 410.1129]","[8.513376e-15, -0.6427876, -0.7660444]",13.09333,-0.000153844,9.965618e-18,True,0.0,0.0,0.0,"[136.0867, 2.065155, 410.1129]","[8.513376e-15, -0.6427876, -0.7660444]",13.09333,0.0,0.0,True,True,True
7,WJCP_007,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M02_A00_NUT_WASHER,3,3_of_3,-6.583577e-17,-9.828088e-05,-0.0001171266,0.000152897913004509,135.0715,2.497181,412.4029,-7.060575e-13,0.6427876,0.7660444,38.56834,-0.0001528979,1.96246e-16,-6.583577e-17,-9.828088e-05,-0.0001171266,"[135.0715, 2.497181, 412.4029]","[-7.060575e-13, 0.6427876, 0.7660444]",38.56834,-0.0001528979,1.96246e-16,True,0.0,0.0,0.0,"[135.0715, 2.497181, 412.4029]","[-7.060575e-13, 0.6427876, 0.7660444]",38.56834,0.0,0.0,True,True,True
8,WJCP_008,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_head,head_washer_to_head,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,M05_A01_HEAD_WASHER,3,3_of_3,-5.74594e-19,-2.670913e-05,-3.183071e-05,4.155203634553907e-05,135.6187,58.64481,533.7288,2.029136e-14,0.6427876,0.7660444,11.9456,-4.155203e-05,4.153276e-19,-5.74594e-19,-2.670913e-05,-3.183071e-05,"[135.6187, 58.64481, 533.7288]","[2.029136e-14, 0.6427876, 0.7660444]",11.9456,-4.155203e-05,4.153276e-19,True,0.0,0.0,0.0,"[135.6187, 58.64481, 533.7288]","[2.029136e-14, 0.6427876, 0.7660444]",11.9456,0.0,0.0,True,True,True
9,WJCP_009,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M05_A01_HEAD_WASHER,3,3_of_3,-2.25858e-17,2.745864e-05,3.272393e-05,4.271805830435766e-05,135.6753,58.60096,531.113,1.266943e-12,-0.6427876,-0.7660444,23.34024,-4.271806e-05,3.55601e-17,-2.25858e-17,2.745864e-05,3.272393e-05,"[135.6753, 58.60096, 531.113]","[1.266943e-12, -0.6427876, -0.7660444]",23.34024,-4.271806e-05,3.55601e-17,True,0.0,0.0,0.0,"[135.6753, 58.60096, 531.113]","[1.266943e-12, -0.6427876, -0.7660444]",23.34024,0.0,0.0,True,True,True
10,WJCP_010,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_nut,nut_washer_to_nut,M07_A01_NUT,M06_A01_NUT_WASHER,3,3_of_3,-7.919551e-19,1.805325e-05,2.151502e-05,2.8085866929167417e-05,140.6485,-24.218,432.167,2.273212e-14,-0.6427876,-0.7660444,1.282465,-2.808586e-05,2.066112e-19,-7.919551e-19,1.805325e-05,2.151502e-05,"[140.6485, -24.218, 432.167]","[2.273212e-14, -0.6427876, -0.7660444]",1.282465,-2.808586e-05,2.066112e-19,True,0.0,0.0,0.0,"[140.6485, -24.218, 432.167]","[2.273212e-14, -0.6427876, -0.7660444]",1.282465,0.0,0.0,True,True,True
