pair_index,set_pair,pair_id,category,master_owner,slave_owner,quantity,report_index,time_seconds,field_rows_complete,force_xyz_n,moment_global_origin_nmm,centroid_xyz_mm,mean_normal_xyz,moment_at_centroid_nmm,area_mm2,normal_force_signed_n,shear_force_magnitude_n,fields_present
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CF,1,0.001,True,"[9.172473e-17,0.0002489072,0.000296636]","[-0.1090673,-0.01365873,0.01146104]","[114.7568,22.46835,445.3811]","[-9.538769e-14,-0.6427876,-0.7660444]","[-0.004873619,0.02038228,-0.01710276]",268.4104,-0.0003872308,3.184988e-16,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFN,2,0.001,True,"[9.172473e-17,0.0002489072,0.000296636]","[-0.1090673,-0.01365873,0.01146104]","[114.7568,22.46835,445.3811]","[-9.538769e-14,-0.6427876,-0.7660444]","[-0.004873619,0.02038228,-0.01710276]",268.4104,-0.0003872308,3.184988e-16,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFS,3,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[114.7568,22.46835,445.3811]","[-9.538769e-14,-0.6427876,-0.7660444]","[0.0,0.0,0.0]",268.4104,-0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CF,4,0.001,True,"[0.002506931,-8.320125e-18,-2.69594e-18]","[4.131048e-15,0.6037887,-0.7837121]","[89.05,63.87367,472.7163]","[-1.0,-6.976555e-17,-1.588798e-17]","[3.701896e-16,-0.5812782,-0.6235852]",1290.081,-0.002506931,8.924676e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFN,5,0.001,True,"[0.002506931,-8.320125e-18,-2.69594e-18]","[4.131048e-15,0.6037887,-0.7837121]","[89.05,63.87367,472.7163]","[-1.0,-6.976555e-17,-1.588798e-17]","[3.701896e-16,-0.5812782,-0.6235852]",1290.081,-0.002506931,8.924676e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFS,6,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[89.05,63.87367,472.7163]","[-1.0,-6.976555e-17,-1.588798e-17]","[0.0,0.0,0.0]",1290.081,-0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,CF,7,0.001,True,"[0.007460538,2.348462e-18,1.266474e-18]","[-1.127709e-15,3.763066,0.4156947]","[89.05,-34.11034,465.9732]","[-1.0,-8.267705e-17,-1.646288e-16]","[9.810703e-18,0.2866558,0.1612132]",195.4264,-0.007460538,1.732069e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,CFN,8,0.001,True,"[0.007460538,2.348462e-18,1.266474e-18]","[-1.127709e-15,3.763066,0.4156947]","[89.05,-34.11034,465.9732]","[-1.0,-8.267705e-17,-1.646288e-16]","[9.810703e-18,0.2866558,0.1612132]",195.4264,-0.007460538,1.732069e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,CFS,9,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[89.05,-34.11034,465.9732]","[-1.0,-8.267705e-17,-1.646288e-16]","[0.0,0.0,0.0]",195.4264,-0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,CF,10,0.001,True,"[2.016365e-18,-0.0001059173,-0.0001262273]","[0.04331594,0.01697494,-0.01424367]","[134.3992,85.51227,511.1843]","[-8.712387e-15,0.6427876,0.7660444]","[-3.33414e-05,1.009093e-05,-8.467296e-06]",19.73607,-0.0001647781,1.534569e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,CFN,11,0.001,True,"[2.016365e-18,-0.0001059173,-0.0001262273]","[0.04331594,0.01697494,-0.01424367]","[134.3992,85.51227,511.1843]","[-8.712387e-15,0.6427876,0.7660444]","[-3.33414e-05,1.009093e-05,-8.467296e-06]",19.73607,-0.0001647781,1.534569e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
