slave_owner,expected_slave_pair_count,observed_cf_pair_count,all_slave_role_cf_vectors_observed,slave_side_cf_subtotal_x_n,slave_side_cf_subtotal_y_n,slave_side_cf_subtotal_z_n,slave_side_cf_subtotal_magnitude_n,interpretation
M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,4,4,True,0.0,0.0,0.0,0.0,selected slave-side pair reports only; excludes master-side contributions
M01_A00_HEAD_WASHER,2,2,True,-1.3415735e-17,6.533000000000027e-07,7.786000000000132e-07,1.016375348973018e-06,selected slave-side pair reports only; excludes master-side contributions
M02_A00_NUT_WASHER,2,2,True,-6.8545969e-17,6.081099999999992e-07,7.246999999999966e-07,9.46037981319986e-07,selected slave-side pair reports only; excludes master-side contributions
M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,4,4,True,0.0,0.0,0.0,0.0,selected slave-side pair reports only; excludes master-side contributions
M05_A01_HEAD_WASHER,2,2,True,-2.3160394e-17,7.495100000000009e-07,8.932200000000016e-07,1.166021958841258e-06,selected slave-side pair reports only; excludes master-side contributions
M06_A01_NUT_WASHER,2,2,True,1.9269094899999998e-17,8.245799999999974e-07,9.826900000000026e-07,1.2828140210100608e-06,selected slave-side pair reports only; excludes master-side contributions
M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,4,4,True,0.0,0.0,0.0,0.0,selected slave-side pair reports only; excludes master-side contributions
M09_A02_HEAD_WASHER,2,2,True,-8.09399999999994e-06,4.6525898000000004e-18,-3.2839906000000004e-18,8.09399999999994e-06,selected slave-side pair reports only; excludes master-side contributions
M10_A02_NUT_WASHER,2,2,True,-8.13899999999989e-06,-9.2195239e-19,-1.36375215e-18,8.13899999999989e-06,selected slave-side pair reports only; excludes master-side contributions
M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,4,3,False,0.0,0.0,0.0,0.0,selected slave-side pair reports only; excludes master-side contributions
M13_A03_HEAD_WASHER,2,2,True,-7.959999999999998e-06,5.837152e-18,-4.7050499999999995e-18,7.959999999999998e-06,selected slave-side pair reports only; excludes master-side contributions
M14_A03_NUT_WASHER,2,2,True,-7.227000000000058e-06,1.2107802e-18,-2.1852593e-19,7.227000000000058e-06,selected slave-side pair reports only; excludes master-side contributions
W00_BOTTOM_CENTER_RIGHT_CLEAT,2,2,True,0.002506931000000092,0.0002489071999999917,0.0002966359999999973,0.0025366613391364042,selected slave-side pair reports only; excludes master-side contributions
W01_BASE_RAIL_BOTTOM_RIGHT,1,1,True,0.007460538,2.348462e-18,1.266474e-18,0.007460538,selected slave-side pair reports only; excludes master-side contributions
