pair_index,set_pair,pair_id,category,master_owner,slave_owner,quantity,comparison_status,baseline_time_s,child_time_s,baseline_force_vector_n,child_force_vector_n,delta_vector_child_minus_baseline_n,abs_linf_delta_n,baseline_linf_force_n,relative_linf_delta,triage_flag_r_gt_10pct,baseline_report_fields_complete,child_report_fields_complete,baseline_CFN_is_CF_duplicate,child_CFN_is_CF_duplicate,CFN_counted_separately_not_added
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CF,matched_force_vector,0.001,0.001,"[9.172473e-17,0.0002489072,0.000296636]","[-1.151316e-17,0.0006217101,0.0007409253]","[-1.0323789e-16,0.00037280289999999997,0.0004442893]",0.0004442893,0.000296636,1.4977592065696677,True,True,True,,,False
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFN,matched_force_vector,0.001,0.001,"[9.172473e-17,0.0002489072,0.000296636]","[-1.151316e-17,0.0006217101,0.0007409253]","[-1.0323789e-16,0.00037280289999999997,0.0004442893]",0.0004442893,0.000296636,1.4977592065696677,True,True,True,True,True,True
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFS,matched_force_vector,0.001,0.001,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0.0,0.0,False,True,True,,,False
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CF,matched_force_vector,0.001,0.001,"[0.002506931,-8.320125e-18,-2.69594e-18]","[0.0144352,1.535387e-20,1.067087e-19]","[0.011928269,8.33547887e-18,2.8026487000000003e-18]",0.011928269,0.002506931,4.75811619865086,True,True,True,,,False
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFN,matched_force_vector,0.001,0.001,"[0.002506931,-8.320125e-18,-2.69594e-18]","[0.0144352,1.535387e-20,1.067087e-19]","[0.011928269,8.33547887e-18,2.8026487000000003e-18]",0.011928269,0.002506931,4.75811619865086,True,True,True,True,True,True
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,CFS,matched_force_vector,0.001,0.001,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0.0,0.0,False,True,True,,,False
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,CF,matched_force_vector,0.001,0.001,"[0.007460538,2.348462e-18,1.266474e-18]","[0.008097693,1.190455e-18,1.68472e-18]","[0.0006371549999999995,-1.158007e-18,4.182460000000001e-19]",0.0006371549999999995,0.007460538,0.08540335831008428,False,True,True,,,False
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,CFN,matched_force_vector,0.001,0.001,"[0.007460538,2.348462e-18,1.266474e-18]","[0.008097693,1.190455e-18,1.68472e-18]","[0.0006371549999999995,-1.158007e-18,4.182460000000001e-19]",0.0006371549999999995,0.007460538,0.08540335831008428,False,True,True,True,True,True
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,CFS,matched_force_vector,0.001,0.001,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",0.0,0.0,0.0,False,True,True,,,False
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,CF,matched_force_vector,0.001,0.001,"[2.016365e-18,-0.0001059173,-0.0001262273]","[2.336692e-18,-0.0002953555,-0.000351991]","[3.2032700000000005e-19,-0.00018943819999999996,-0.00022576370000000002]",0.00022576370000000002,0.0001262273,1.7885489113686186,True,True,True,,,False
