pair_index,set_pair,pair_id,category,master_owner,slave_owner,baseline_CF_patch_state,child_CF_patch_state,state_change,state_comparison,baseline_CF_area_mm2,child_CF_area_mm2
1,WJCP_001,bottom_center_right_cleat_to_base_rail_bottom_right::wood_to_wood,wood_wood_finite_interface,W01_BASE_RAIL_BOTTOM_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,268.4104,1866.852
2,WJCP_002,bottom_center_right_cleat_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W00_BOTTOM_CENTER_RIGHT_CLEAT,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,1290.081,831.3432
3,WJCP_003,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,195.4264,169.0164
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,19.73607,55.18627
5,WJCP_005,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M01_A00_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,61.14167,143.8314
6,WJCP_006,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_nut,nut_washer_to_nut,M03_A00_NUT,M02_A00_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,13.09333,52.33637
7,WJCP_007,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M02_A00_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,38.56834,147.0717
8,WJCP_008,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_head,head_washer_to_head,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,M05_A01_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,11.9456,53.73708
9,WJCP_009,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M05_A01_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,23.34024,94.37556
10,WJCP_010,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_nut,nut_washer_to_nut,M07_A01_NUT,M06_A01_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,1.282465,51.10608
11,WJCP_011,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M06_A01_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,25.66815,93.29099
12,WJCP_012,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_head,head_washer_to_head,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,M09_A02_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,4.790229,50.82929
13,WJCP_013,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M09_A02_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,25.65558,130.1174
14,WJCP_014,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_nut,nut_washer_to_nut,M11_A02_NUT,M10_A02_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,8.367122,50.45246
15,WJCP_015,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W02_BASE_PRINCIPAL_CENTER_RIGHT,M10_A02_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,24.17977,118.6966
16,WJCP_016,bottom_center/clip_horizontal_bottom_right_1/principal_2/head_washer_to_head,head_washer_to_head,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,M13_A03_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,3.846794,49.36236
17,WJCP_017,bottom_center/clip_horizontal_bottom_right_1/principal_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M13_A03_HEAD_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,24.71239,95.12604
18,WJCP_018,bottom_center/clip_horizontal_bottom_right_1/principal_2/nut_washer_to_nut,nut_washer_to_nut,M15_A03_NUT,M14_A03_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,4.854073,49.47334
19,WJCP_019,bottom_center/clip_horizontal_bottom_right_1/principal_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W02_BASE_PRINCIPAL_CENTER_RIGHT,M14_A03_NUT_WASHER,positive_area_patch_reported,positive_area_patch_reported,False,compared_same,31.22963,108.2216
20,WJCP_020,bottom_center/clip_horizontal_bottom_right_1/rail_1::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
21,WJCP_021,bottom_center/clip_horizontal_bottom_right_1/rail_1::base_rail_bottom_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W01_BASE_RAIL_BOTTOM_RIGHT,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
22,WJCP_022,bottom_center/clip_horizontal_bottom_right_1/rail_2::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
23,WJCP_023,bottom_center/clip_horizontal_bottom_right_1/rail_2::base_rail_bottom_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W01_BASE_RAIL_BOTTOM_RIGHT,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
24,WJCP_024,bottom_center/clip_horizontal_bottom_right_1/principal_1::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
25,WJCP_025,bottom_center/clip_horizontal_bottom_right_1/principal_1::base_principal_center_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W02_BASE_PRINCIPAL_CENTER_RIGHT,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
26,WJCP_026,bottom_center/clip_horizontal_bottom_right_1/principal_2::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
27,WJCP_027,bottom_center/clip_horizontal_bottom_right_1/principal_2::base_principal_center_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W02_BASE_PRINCIPAL_CENTER_RIGHT,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
28,WJCP_028,bottom_center/clip_horizontal_bottom_right_1/rail_1::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M01_A00_HEAD_WASHER,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
29,WJCP_029,bottom_center/clip_horizontal_bottom_right_1/rail_1::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M02_A00_NUT_WASHER,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
30,WJCP_030,bottom_center/clip_horizontal_bottom_right_1/rail_2::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M05_A01_HEAD_WASHER,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
31,WJCP_031,bottom_center/clip_horizontal_bottom_right_1/rail_2::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M06_A01_NUT_WASHER,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
32,WJCP_032,bottom_center/clip_horizontal_bottom_right_1/principal_1::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M09_A02_HEAD_WASHER,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
33,WJCP_033,bottom_center/clip_horizontal_bottom_right_1/principal_1::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M10_A02_NUT_WASHER,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,zero_area_undefined_centroid_normal,zero_area_undefined_centroid_normal,False,compared_same,0.0,0.0
34,WJCP_034,bottom_center/clip_horizontal_bottom_right_1/principal_2::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M13_A03_HEAD_WASHER,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,unknown_incomplete_CF_report,zero_area_undefined_centroid_normal,,unknown_due_to_missing_or_incomplete_CF_report,,0.0
35,WJCP_035,bottom_center/clip_horizontal_bottom_right_1/principal_2::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M14_A03_NUT_WASHER,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,no_CF_record,zero_area_undefined_centroid_normal,,unknown_due_to_missing_or_incomplete_CF_report,,0.0
