step,increment,attempt,iteration_before,iteration_after,iteration_gap,comparison_status,pair_id,category,master_owner,slave_owner,contact_element_count_before,contact_element_count_after,contact_element_count_delta,retained_face_pair_signature_multiplicity,appeared_face_pair_signature_multiplicity,disappeared_face_pair_signature_multiplicity
1,1,1,1,2,1,cvg_aligned,base_rail_bottom_right_to_base_principal_center_right::wood_to_wood,wood_wood_finite_interface,W02_BASE_PRINCIPAL_CENTER_RIGHT,W01_BASE_RAIL_BOTTOM_RIGHT,1319,1241,-78,1059,182,260
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M09_A02_HEAD_WASHER,5316,4715,-601,3303,1412,2013
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_head,head_washer_to_head,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,M09_A02_HEAD_WASHER,7436,7044,-392,4254,2790,3182
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W02_BASE_PRINCIPAL_CENTER_RIGHT,M10_A02_NUT_WASHER,4381,3695,-686,2626,1069,1755
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_nut,nut_washer_to_nut,M11_A02_NUT,M10_A02_NUT_WASHER,6782,6142,-640,3793,2349,2989
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1::base_principal_center_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W02_BASE_PRINCIPAL_CENTER_RIGHT,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,0,0,0,0,0,0
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,0,0,0,0,0,0
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M09_A02_HEAD_WASHER,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,0,0,0,0,0,0
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_1::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M10_A02_NUT_WASHER,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,0,0,0,0,0,0
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M13_A03_HEAD_WASHER,3223,3075,-148,2123,952,1100
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_2/head_washer_to_head,head_washer_to_head,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,M13_A03_HEAD_WASHER,7410,7065,-345,4285,2780,3125
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W02_BASE_PRINCIPAL_CENTER_RIGHT,M14_A03_NUT_WASHER,2737,2617,-120,1770,847,967
1,1,1,1,2,1,cvg_aligned,bottom_center/clip_horizontal_bottom_right_1/principal_2/nut_washer_to_nut,nut_washer_to_nut,M15_A03_NUT,M14_A03_NUT_WASHER,6775,6280,-495,3822,2458,2953
