part,kind,dimension_1_mm,dimension_2_mm,dimension_3_mm,description
main_lower_left,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,part,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,part,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,part,2608.023990442487,139.7,38.1,"Single nominal 2x6 outer rim; grain along slope; level bearing cut; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_side_right,part,2608.023990442487,139.7,38.1,"Single nominal 2x6 outer rim; grain along slope; level bearing cut; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_rail_top,part,2362.2000000000003,139.7,38.1,"Single nominal 2x6 top crossmember; grain X; square cut; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_header,part,2438.4,234.95,38.1,"Single nominal 2x10 flat header; retained front datum and height; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_post_outer_left,part,186.9,234.95,38.1,"Single nominal 2x10 outer post; full-depth header support; retained gusset bolt grips; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_post_outer_right,part,186.9,234.95,38.1,"Single nominal 2x10 outer post; full-depth header support; retained gusset bolt grips; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
lumber_leg_left,part,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
lumber_leg_right,part,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_principal_left_1,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_post_left_1,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_principal_left_2,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_post_left_2,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_principal_right_1,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_post_right_1,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_principal_right_2,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_post_right_2,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
base_rail_bottom_left_1,part,392.0500000000002,139.7,38.1,"Independent square-cut single 2x6 bottom-rail segment; no service pockets; Direct commercial ML24Z rim-to-header angles replace plywood gussets and their eight bolts; selected SDS25112 screws retained; geometry, local stiffness, connection resistance and global stability require verification; NOT build-ready"
