part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
main_lower_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,2,2602.6957077845113,177.8,38.09999999999991,102.46833495214612,7.000000000000001,1.4999999999999964,"Inset 38.1 mm laminated side rim behind face; grain S; level lower bearing cut; blank exceeds 8 ft plywood: longer stock or a redesigned joint required; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_right,2,2602.6957077845113,177.8,38.09999999999991,102.46833495214612,7.000000000000001,1.4999999999999964,"Inset 38.1 mm laminated side rim behind face; grain S; level lower bearing cut; blank exceeds 8 ft plywood: longer stock or a redesigned joint required; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_principal_left,1,2532.626011836657,139.7,38.1,99.70968550538021,5.5,1.5000000000000002,"Continuous 2x6 grain S; horizontal lower bearing cut; square top below top rail; requires 10 ft lumber; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_principal_right,1,2532.626011836657,139.7,38.1,99.70968550538021,5.5,1.5000000000000002,"Continuous 2x6 grain S; horizontal lower bearing cut; square top below top rail; requires 10 ft lumber; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_top,1,2362.2000000000003,139.7,38.1,93.00000000000001,5.5,1.5000000000000002,"Continuous square-cut 2x6 top crossmember; grain X; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_mid_lower_left,1,1104.9,139.7,38.1,43.50000000000001,5.5,1.5000000000000002,"Square-cut 2x6 seam rail; separate panel-edge bearing; grain X; row 7 LED exits obstructed: service pockets not yet designed; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_mid_lower_right,1,1143.0000000000002,139.7,38.1,45.000000000000014,5.5,1.5000000000000002,"Square-cut 2x6 seam rail; separate panel-edge bearing; grain X; row 7 LED exits obstructed: service pockets not yet designed; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_mid_upper_left,1,1104.9,139.7,38.1,43.50000000000001,5.5,1.5000000000000002,"Square-cut 2x6 seam rail; separate panel-edge bearing; grain X; row 7 LED exits obstructed: service pockets not yet designed; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_mid_upper_right,1,1143.0000000000002,139.7,38.1,45.000000000000014,5.5,1.5000000000000002,"Square-cut 2x6 seam rail; separate panel-edge bearing; grain X; row 7 LED exits obstructed: service pockets not yet designed; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_header,1,2438.4,285.75,38.1,96.00000000000001,11.25,1.5000000000000002,"Horizontal nominal 2x12 flat header; grain X; direct sloped-member bearing, retention unresolved; does not back the main plywood bottom edge; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_post_outer_left,1,186.9,88.9,38.1,7.358267716535433,3.5000000000000004,1.5000000000000002,"Short vertical 2x4 kicker support; grain Z; square floor/header bearing; retention unresolved; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_post_center_left,1,186.9,88.9,38.1,7.358267716535433,3.5000000000000004,1.5000000000000002,"Short vertical 2x4 kicker support; grain Z; square floor/header bearing; retention unresolved; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_post_center_right,1,186.9,88.9,38.1,7.358267716535433,3.5000000000000004,1.5000000000000002,"Short vertical 2x4 kicker support; grain Z; square floor/header bearing; retention unresolved; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_post_outer_right,1,186.9,88.9,38.1,7.358267716535433,3.5000000000000004,1.5000000000000002,"Short vertical 2x4 kicker support; grain Z; square floor/header bearing; retention unresolved; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
leg_left_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"Historical undrilled plywood leg ply moved inward 38.1 mm with side rim; no attachment/stitch hardware transferred; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
