part,connection,from_min_x_mm,from_min_s_mm,from_min_n_mm,from_min_x_in,from_min_s_in,from_min_n_in,axis_x,axis_s,axis_n,material_run_mm,status
lean_edge_left_upper,analysis_leg_wall_bolt_left_1,38.09999999999991,231.89999999999964,74.07500000000022,1.4999999999999964,9.129921259842506,2.916338582677174,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_1,38.09999999999991,1539.9999999999995,92.07499999999997,1.4999999999999964,60.629921259842504,3.624999999999999,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_1,19.050000000000182,860.238727647356,1399.8115513120354,0.7500000000000072,33.867666442809295,55.11069099653683,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_1,19.049999999999955,860.238727647356,1399.8115513120354,0.7499999999999982,33.867666442809295,55.11069099653683,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
lean_edge_left_upper,analysis_leg_wall_bolt_left_2,38.09999999999991,311.8999999999994,74.07500000000033,1.4999999999999964,12.279527559055095,2.9163385826771786,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_2,38.09999999999991,1619.9999999999993,92.07500000000009,1.4999999999999964,63.7795275590551,3.6250000000000036,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_2,19.050000000000182,940.2387276473557,1399.8115513120356,0.7500000000000072,37.01727274202188,55.11069099653684,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_2,19.049999999999955,940.2387276473557,1399.8115513120356,0.7499999999999982,37.01727274202188,55.11069099653684,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
lean_edge_left_upper,analysis_leg_wall_bolt_left_3,38.09999999999991,431.8999999999994,74.07499999999999,1.4999999999999964,17.003937007873994,2.9163385826771653,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_3,38.09999999999991,1739.9999999999993,92.07499999999975,1.4999999999999964,68.50393700787399,3.6249999999999902,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_3,19.050000000000182,1060.2387276473557,1399.8115513120351,0.7500000000000072,41.74168219084078,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
