quantity,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,parts,status
4,76.2,40.0,38.1,3.0000000000000004,1.5748031496062993,1.5000000000000002,wood_kicker_block_left_bottom + wood_kicker_block_left_top + wood_kicker_block_right_bottom + wood_kicker_block_right_top,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
12,139.7,88.9,88.9,5.5,3.5000000000000004,3.5000000000000004,wood_joint_block_lower_left_1 + wood_joint_block_lower_left_2 + wood_joint_block_lower_right_1 + wood_joint_block_lower_right_2 + wood_joint_block_mid_left_1 + wood_joint_block_mid_left_2 + wood_joint_block_mid_right_1 + wood_joint_block_mid_right_2 + wood_joint_block_top_left_1 + wood_joint_block_top_left_2 + wood_joint_block_top_right_1 + wood_joint_block_top_right_2,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
4,228.978396,153.314287,19.05,9.01489748031496,6.035995551181103,0.7500000000000001,cheek_splice_left_inner + cheek_splice_left_outer + cheek_splice_right_inner + cheek_splice_right_outer,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,343.369338,141.067084,38.1,13.51847787401575,5.553822204724409,1.5000000000000002,kicker_cheek_left + kicker_cheek_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,914.4,88.9,38.1,36.0,3.5000000000000004,1.5000000000000002,wood_vertical_edge_left_lower + wood_vertical_edge_right_lower,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,914.4,184.15,38.1,36.0,7.250000000000001,1.5000000000000002,wood_vertical_center_left_lower + wood_vertical_center_right_lower,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
6,984.1,139.7,88.9,38.74409448818898,5.5,3.5000000000000004,wood_beam_lower_left + wood_beam_lower_right + wood_beam_mid_left + wood_beam_mid_right + wood_beam_top_left + wood_beam_top_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,1060.45,88.9,38.1,41.75000000000001,3.5000000000000004,1.5000000000000002,wood_vertical_edge_left_upper + wood_vertical_edge_right_upper,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,1060.45,184.15,38.1,41.75000000000001,7.250000000000001,1.5000000000000002,wood_vertical_center_left_upper + wood_vertical_center_right_upper,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,1219.2,225.0,18.25625,48.00000000000001,8.858267716535433,0.7187500000000001,kicker_left + kicker_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
4,1219.2,1219.2,18.25625,48.00000000000001,48.00000000000001,0.7187500000000001,main_lower_left + main_lower_right + main_upper_left + main_upper_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
4,1782.199107,727.539289,19.05,70.16531917322834,28.643279094488193,0.7500000000000001,leg_left_inner + leg_left_outer + leg_right_inner + leg_right_outer,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,2324.1,139.7,88.9,91.5,5.5,3.5000000000000004,wood_edge_principal_left + wood_edge_principal_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,2438.4,50,38.1,96.00000000000001,1.968503937007874,1.5000000000000002,kicker_batten_bottom + kicker_batten_top,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
1,2438.4,88.9,38.1,96.00000000000001,3.5000000000000004,1.5000000000000002,wood_rail_top,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
1,2438.4,139.7,38.1,96.00000000000001,5.5,1.5000000000000002,wood_rail_mid,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,2438.4,139.7,88.9,96.00000000000001,5.5,3.5000000000000004,wood_principal_left + wood_principal_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
2,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,box_side_left + box_side_right,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
1,2438.4,234.95,38.1,96.00000000000001,9.25,1.5000000000000002,wood_rail_lower,"Blank grouping only; profiles, grain, holes and actual-stock allowances still govern"
