connection,kind,members,x_mm,y_mm,z_mm,x_in,y_in,z_in,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,diameter_in,grip_mm,grip_in,status
analysis_leg_wall_bolt_left_1,bolt,wood_edge_principal_left + box_side_left + leg_left_inner + leg_left_outer,-1128.268,898.2951990446145,1466.4642620038603,-44.42,35.36595271829191,57.73481346471891,-1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_left_2,bolt,wood_edge_principal_left + box_side_left + leg_left_inner + leg_left_outer,-1128.268,949.7182078195375,1527.7478174533785,-44.42,37.39048062281644,60.14755186824325,-1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_left_3,bolt,wood_edge_principal_left + box_side_left + leg_left_inner + leg_left_outer,-1128.268,1026.8527209819224,1619.6731506276558,-44.42,40.427272479603246,63.76665947352976,-1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_left_4,bolt,wood_edge_principal_left + box_side_left + leg_left_inner + leg_left_outer,-1128.268,1078.2757297568453,1680.9567060771742,-44.42,42.45180038412777,66.1793978770541,-1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_right_1,bolt,wood_edge_principal_right + box_side_right + leg_right_inner + leg_right_outer,1128.268,898.2951990446145,1466.4642620038603,44.42,35.36595271829191,57.73481346471891,1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_right_2,bolt,wood_edge_principal_right + box_side_right + leg_right_inner + leg_right_outer,1128.268,949.7182078195375,1527.7478174533785,44.42,37.39048062281644,60.14755186824325,1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_right_3,bolt,wood_edge_principal_right + box_side_right + leg_right_inner + leg_right_outer,1128.268,1026.8527209819224,1619.6731506276558,44.42,40.427272479603246,63.76665947352976,1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
analysis_leg_wall_bolt_right_4,bolt,wood_edge_principal_right + box_side_right + leg_right_inner + leg_right_outer,1128.268,1078.2757297568453,1680.9567060771742,44.42,42.45180038412777,66.1793978770541,1.0,0.0,0.0,190.5,7.5,9.525,0.37500000000000006,165.1,6.5,"Selected Conquest A307 plain 3/8-16, 7.5-inch front and leg / 6-inch rim; dimensional family from selected_hardware.BoltSpec, maximum head/nut/washer envelopes; no assigned bearing, net-section, joint or clamp-friction resistance"
kicker_left_bottom_0,screw,kicker_left + kicker_batten_bottom,-1169.2,-17.743750000000002,25.0,-46.03149606299213,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_0,screw,kicker_left + kicker_batten_top,-1169.2,-17.743750000000002,200.0,-46.03149606299213,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_1,screw,kicker_left + kicker_batten_bottom,-791.1333333333334,-17.743750000000002,25.0,-31.146981627296594,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_1,screw,kicker_left + kicker_batten_top,-791.1333333333334,-17.743750000000002,200.0,-31.146981627296594,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_2,screw,kicker_left + kicker_batten_bottom,-447.0666666666667,-17.743750000000002,25.0,-17.601049868766406,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_2,screw,kicker_left + kicker_batten_top,-447.0666666666667,-17.743750000000002,200.0,-17.601049868766406,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_3,screw,kicker_left + kicker_batten_bottom,-50.0,-17.743750000000002,25.0,-1.968503937007874,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_3,screw,kicker_left + kicker_batten_top,-50.0,-17.743750000000002,200.0,-1.968503937007874,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_right_bottom_0,screw,kicker_right + kicker_batten_bottom,50.0,-17.743750000000002,25.0,1.968503937007874,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_right_top_0,screw,kicker_right + kicker_batten_top,50.0,-17.743750000000002,200.0,1.968503937007874,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
