connection,kind,members,x_mm,y_mm,z_mm,x_in,y_in,z_in,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,diameter_in,grip_mm,grip_in,status
analysis_leg_wall_bolt_left_1,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,901.3593768170906,1463.8931115651144,-47.935,35.48658963846814,57.6335870694927,-1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_left_2,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,952.7823855920137,1525.1766670146326,-47.935,37.51111754299267,60.046325473017035,-1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_left_3,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,1029.9168987543983,1617.1020001889099,-47.935,40.54790939977946,63.66543307830354,-1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_left_4,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,1081.3399075293216,1678.3855556384283,-47.935,42.572437304304,66.0781714818279,-1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_1,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,901.3593768170906,1463.8931115651144,47.935,35.48658963846814,57.6335870694927,1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_2,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,952.7823855920137,1525.1766670146326,47.935,37.51111754299267,60.046325473017035,1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_3,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,1029.9168987543983,1617.1020001889099,47.935,40.54790939977946,63.66543307830354,1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_4,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,1081.3399075293216,1678.3855556384283,47.935,42.572437304304,66.0781714818279,1.0,0.0,0.0,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_0,screw,kicker_left + kicker_batten_bottom,-1169.2,-17.743750000000002,25.0,-46.03149606299213,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_0,screw,kicker_left + kicker_batten_top,-1169.2,-17.743750000000002,200.0,-46.03149606299213,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_1,screw,kicker_left + kicker_batten_bottom,-791.1333333333334,-17.743750000000002,25.0,-31.146981627296594,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
