connection,kind,members,length_mm,diameter_mm,x_mm,y_mm,z_mm,dx,dy,dz,status
clip_single_top_left_1_beam_1,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_beam_2,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_beam_3,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_1,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1390.7352467286478,2129.445246197717,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_2,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1415.8398386899714,2100.0906560548547,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_3,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1449.1078332943139,2080.4648303396025,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_1,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_2,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_3,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_1,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_2,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_3,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_left_beam_1,screw,clip_timber_header_outer_left + base_header,38.1,6.35,-1138.8572600000002,-143.95,184.34476,-0.0,-0.0,1.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_left_beam_2,screw,clip_timber_header_outer_left + base_header,38.1,6.35,-1145.2072600000001,-105.85,184.34476,-0.0,-0.0,1.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_left_beam_3,screw,clip_timber_header_outer_left + base_header,38.1,6.35,-1138.8572600000002,-67.75,184.34476,-0.0,-0.0,1.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_left_upright_1,screw,clip_timber_header_outer_left + base_post_outer_left,38.1,6.35,-1178.5447600000002,-143.95,151.00726,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_left_upright_2,screw,clip_timber_header_outer_left + base_post_outer_left,38.1,6.35,-1178.5447600000002,-105.85,144.65726,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_left_upright_3,screw,clip_timber_header_outer_left + base_post_outer_left,38.1,6.35,-1178.5447600000002,-67.75,151.00726,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_right_beam_1,screw,clip_timber_header_outer_right + base_header,38.1,6.35,1138.8572600000002,-67.75,184.34476,-0.0,-0.0,1.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_right_beam_2,screw,clip_timber_header_outer_right + base_header,38.1,6.35,1145.2072600000001,-105.85,184.34476,-0.0,-0.0,1.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_right_beam_3,screw,clip_timber_header_outer_right + base_header,38.1,6.35,1138.8572600000002,-143.95,184.34476,-0.0,-0.0,1.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_right_upright_1,screw,clip_timber_header_outer_right + base_post_outer_right,38.1,6.35,1178.5447600000002,-67.75,151.00726,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_right_upright_2,screw,clip_timber_header_outer_right + base_post_outer_right,38.1,6.35,1178.5447600000002,-105.85,144.65726,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_header_outer_right_upright_3,screw,clip_timber_header_outer_right + base_post_outer_right,38.1,6.35,1178.5447600000002,-143.95,151.00726,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_split_top_center_left_beam_1,screw,clip_split_top_center_left + base_rail_top,38.1,6.35,-131.29273999999998,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
