part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
main_lower_left,1,1219.2,1219.2,18.0,48.0,48.0,0.7087,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
main_lower_right,1,1219.2,1219.2,18.0,48.0,48.0,0.7087,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
main_upper_left,1,1219.2,1219.2,18.0,48.0,48.0,0.7087,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
main_upper_right,1,1219.2,1219.2,18.0,48.0,48.0,0.7087,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
kicker_left,1,1219.2,225.0,18.0,48.0,8.8583,0.7087,18 mm kicker plywood; eight perimeter screws
kicker_right,1,1219.2,225.0,18.0,48.0,8.8583,0.7087,18 mm kicker plywood; eight perimeter screws
box_side_left,1,2438.4,285.75,38.1,96.0,11.25,1.5,2x12 dry dressed lumber; grade/species unresolved
leg_left,2,1814.853,664.923,38.1,71.4509,26.1781,1.5,two glued 19.05 mm plywood layers; changed profile; bounding blank
box_side_right,1,2438.4,285.75,38.1,96.0,11.25,1.5,2x12 dry dressed lumber; grade/species unresolved
leg_right,2,1814.853,664.923,38.1,71.4509,26.1781,1.5,two glued 19.05 mm plywood layers; changed profile; bounding blank
box_top,1,2514.6,285.75,38.1,99.0,11.25,1.5,2x12 top cap; detachable bolted steel angles
kicker_batten_bottom,1,2438.4,50,38.1,96.0,1.9685,1.5,lumber backing ripped to 50 mm from 2x4; top has LED relief notches
kicker_batten_top,1,2438.4,50,38.1,96.0,1.9685,1.5,lumber backing ripped to 50 mm from 2x4; top has LED relief notches
kicker_cheek_left,2,408.677,218.897,38.1,16.0896,8.618,1.5,two-layer plywood floor-reaching transition
cheek_splice_left,2,200,197.75,38.1,7.874,7.7854,1.5,two-layer plywood splice trimmed to cheek rear; permanent screws
angle_left_top,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_left_cross_1,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_left_cross_2,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_left_cross_3,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
kicker_cheek_right,2,408.677,218.897,38.1,16.0896,8.618,1.5,two-layer plywood floor-reaching transition
cheek_splice_right,2,200,197.75,38.1,7.874,7.7854,1.5,two-layer plywood splice trimmed to cheek rear; permanent screws
angle_right_top,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_right_cross_1,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_right_cross_2,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_right_cross_3,1,100,100,88.9,3.937,3.937,3.5,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
panel_edge_bottom,1,2438.4,88.9,38.1,96.0,3.5,1.5,2x4 lumber
panel_edge_top,1,2438.4,88.9,38.1,96.0,3.5,1.5,2x4 lumber
panel_seam_horizontal,1,2438.4,139.7,38.1,96.0,5.5,1.5,2x6 lumber
panel_edge_left_lower,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
panel_edge_right_lower,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
panel_seam_vertical_lower,1,1060.45,139.7,38.1,41.75,5.5,1.5,2x6 lumber
mid_lower_left,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
mid_lower_right,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
panel_edge_left_upper,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
panel_edge_right_upper,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
panel_seam_vertical_upper,1,1060.45,139.7,38.1,41.75,5.5,1.5,2x6 lumber
mid_upper_left,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
mid_upper_right,1,1060.45,88.9,38.1,41.75,3.5,1.5,2x4 lumber
rear_cross_1,1,2438.4,88.9,38.1,96.0,3.5,1.5,2x4 rear crossmember; bolted angle interfaces
