connection,kind,members,x_mm,y_mm,z_mm,x_in,y_in,z_in,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,diameter_in,grip_mm,grip_in,status
analysis_leg_wall_bolt_left_1,bolt,lean_edge_left_upper + box_side_left + leg_left_inner + leg_left_outer,-1179.068,901.3593768170904,1463.8931115651142,-46.42,35.486589638468125,57.633587069492684,-1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_left_2,bolt,lean_edge_left_upper + box_side_left + leg_left_inner + leg_left_outer,-1179.068,952.7823855920134,1525.1766670146324,-46.42,37.51111754299266,60.04632547301703,-1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_left_3,bolt,lean_edge_left_upper + box_side_left + leg_left_inner + leg_left_outer,-1179.068,1029.9168987543983,1617.1020001889096,-46.42,40.54790939977946,63.665433078303536,-1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_left_4,bolt,lean_edge_left_upper + box_side_left + leg_left_inner + leg_left_outer,-1179.068,1081.3399075293212,1678.385555638428,-46.42,42.57243730430399,66.07817148182788,-1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_right_1,bolt,lean_edge_right_upper + box_side_right + leg_right_inner + leg_right_outer,1179.068,901.3593768170904,1463.8931115651142,46.42,35.486589638468125,57.633587069492684,1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_right_2,bolt,lean_edge_right_upper + box_side_right + leg_right_inner + leg_right_outer,1179.068,952.7823855920134,1525.1766670146324,46.42,37.51111754299266,60.04632547301703,1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_right_3,bolt,lean_edge_right_upper + box_side_right + leg_right_inner + leg_right_outer,1179.068,1029.9168987543983,1617.1020001889096,46.42,40.54790939977946,63.665433078303536,1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
analysis_leg_wall_bolt_right_4,bolt,lean_edge_right_upper + box_side_right + leg_right_inner + leg_right_outer,1179.068,1081.3399075293212,1678.385555638428,46.42,42.57243730430399,66.07817148182788,1.0,0.0,0.0,139.7,5.5,9.525,0.37500000000000006,114.3,4.5,Provisional Conquest-family 3/8-16 x5.5in leg bolt; fit/strength unqualified
kicker_left_bottom_0,screw,kicker_left + kicker_batten_bottom,-1169.2,-17.743750000000002,25.0,-46.03149606299213,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_0,screw,kicker_left + kicker_batten_top,-1169.2,-17.743750000000002,200.0,-46.03149606299213,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_1,screw,kicker_left + kicker_batten_bottom,-791.1333333333334,-17.743750000000002,25.0,-31.146981627296594,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_1,screw,kicker_left + kicker_batten_top,-791.1333333333334,-17.743750000000002,200.0,-31.146981627296594,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_2,screw,kicker_left + kicker_batten_bottom,-447.0666666666667,-17.743750000000002,25.0,-17.601049868766406,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_2,screw,kicker_left + kicker_batten_top,-447.0666666666667,-17.743750000000002,200.0,-17.601049868766406,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_bottom_3,screw,kicker_left + kicker_batten_bottom,-50.0,-17.743750000000002,25.0,-1.968503937007874,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_left_top_3,screw,kicker_left + kicker_batten_top,-50.0,-17.743750000000002,200.0,-1.968503937007874,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_right_bottom_0,screw,kicker_right + kicker_batten_bottom,50.0,-17.743750000000002,25.0,1.968503937007874,-0.6985728346456694,0.984251968503937,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
kicker_right_top_0,screw,kicker_right + kicker_batten_top,50.0,-17.743750000000002,200.0,1.968503937007874,-0.6985728346456694,7.874015748031496,0.0,-1.0,0.0,50.8,2.0,4.3942,0.173,0.0,0.0,SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
