connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
analysis_leg_wall_bolt_left_1,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.2,901.3593768170906,1463.8931115651144,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_left_2,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.2,952.7823855920137,1525.1766670146326,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_left_3,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.2,1029.9168987543983,1617.1020001889099,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_left_4,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.2,1081.3399075293216,1678.3855556384283,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_right_1,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.2,901.3593768170906,1463.8931115651144,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_right_2,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.2,952.7823855920137,1525.1766670146326,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_right_3,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.2,1029.9168987543983,1617.1020001889099,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
analysis_leg_wall_bolt_right_4,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.2,1081.3399075293216,1678.3855556384283,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_1,screw,main_lower_left + panel_edge_bottom,-1169.2,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_2,screw,main_lower_left + panel_edge_bottom,-796.1333333333334,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_3,screw,main_lower_left + panel_edge_bottom,-423.0666666666667,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_4,screw,main_lower_left + panel_edge_bottom,-50.0,14.139380484326963,263.3022221559489,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_5,screw,main_lower_left + panel_seam_horizontal,-1169.2,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_6,screw,main_lower_left + panel_seam_horizontal,-793.1333333333334,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
panel_7,screw,main_lower_left + panel_seam_horizontal,-445.0666666666667,733.5472732455017,1120.659162894709,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,PROVISIONAL — clip-envelope inspection; candidate FEA not run
