feature,label,x_mm,y_mm,x_in,y_in
tnut,A1,200.000,80.000,7.8740,3.1496
tnut,A2,200.000,280.000,7.8740,11.0236
tnut,A3,200.000,480.000,7.8740,18.8976
tnut,A4,200.000,680.000,7.8740,26.7717
tnut,A5,200.000,880.000,7.8740,34.6457
tnut,A6,200.000,1080.000,7.8740,42.5197
tnut,A7,200.000,1280.000,7.8740,50.3937
tnut,A8,200.000,1480.000,7.8740,58.2677
tnut,A9,200.000,1680.000,7.8740,66.1417
tnut,A10,200.000,1880.000,7.8740,74.0157
tnut,A11,200.000,2080.000,7.8740,81.8898
tnut,A12,200.000,2280.000,7.8740,89.7638
tnut,B1,400.000,80.000,15.7480,3.1496
tnut,B2,400.000,280.000,15.7480,11.0236
tnut,B3,400.000,480.000,15.7480,18.8976
tnut,B4,400.000,680.000,15.7480,26.7717
tnut,B5,400.000,880.000,15.7480,34.6457
tnut,B6,400.000,1080.000,15.7480,42.5197
tnut,B7,400.000,1280.000,15.7480,50.3937
tnut,B8,400.000,1480.000,15.7480,58.2677
tnut,B9,400.000,1680.000,15.7480,66.1417
tnut,B10,400.000,1880.000,15.7480,74.0157
tnut,B11,400.000,2080.000,15.7480,81.8898
tnut,B12,400.000,2280.000,15.7480,89.7638
tnut,C1,600.000,80.000,23.6220,3.1496
tnut,C2,600.000,280.000,23.6220,11.0236
tnut,C3,600.000,480.000,23.6220,18.8976
tnut,C4,600.000,680.000,23.6220,26.7717
tnut,C5,600.000,880.000,23.6220,34.6457
tnut,C6,600.000,1080.000,23.6220,42.5197
tnut,C7,600.000,1280.000,23.6220,50.3937
tnut,C8,600.000,1480.000,23.6220,58.2677
tnut,C9,600.000,1680.000,23.6220,66.1417
tnut,C10,600.000,1880.000,23.6220,74.0157
tnut,C11,600.000,2080.000,23.6220,81.8898
tnut,C12,600.000,2280.000,23.6220,89.7638
tnut,D1,800.000,80.000,31.4961,3.1496
tnut,D2,800.000,280.000,31.4961,11.0236
tnut,D3,800.000,480.000,31.4961,18.8976
tnut,D4,800.000,680.000,31.4961,26.7717
tnut,D5,800.000,880.000,31.4961,34.6457
tnut,D6,800.000,1080.000,31.4961,42.5197
tnut,D7,800.000,1280.000,31.4961,50.3937
tnut,D8,800.000,1480.000,31.4961,58.2677
tnut,D9,800.000,1680.000,31.4961,66.1417
tnut,D10,800.000,1880.000,31.4961,74.0157
tnut,D11,800.000,2080.000,31.4961,81.8898
tnut,D12,800.000,2280.000,31.4961,89.7638
tnut,E1,1000.000,80.000,39.3701,3.1496
tnut,E2,1000.000,280.000,39.3701,11.0236
tnut,E3,1000.000,480.000,39.3701,18.8976
tnut,E4,1000.000,680.000,39.3701,26.7717
