part,center_x_mm,center_y_mm,center_z_mm,dominant_axis_x,dominant_axis_y,dominant_axis_z,world_aabb_x_mm,world_aabb_y_mm,world_aabb_z_mm,datum
kicker_left,-609.842,-9.000,112.164,1.000000,-0.000000,-0.000000,1219.200,18.000,225.000,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
kicker_right,609.650,-9.000,112.209,1.000000,-0.000000,-0.000000,1219.200,18.000,225.000,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
main_lower_left,-610.106,366.848,697.645,-0.000000,0.642788,0.766044,1219.200,797.475,945.532,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
main_lower_right,609.734,366.865,697.665,-0.000000,0.642788,0.766044,1219.200,797.475,945.532,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
main_upper_left,-610.057,1150.794,1631.916,-0.000000,0.642788,0.766044,1219.200,797.475,945.532,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
main_upper_right,609.721,1150.768,1631.884,-0.000000,0.642788,0.766044,1219.200,797.475,945.532,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
leg_left,-1327.200,1106.066,886.999,-0.000000,0.342020,-0.939693,36.000,680.532,1769.295,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
leg_knee_gusset_left,-1363.200,878.170,1405.026,-0.000000,-0.000000,1.000000,36.000,450.000,450.000,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
leg_right,1327.200,1106.066,886.999,-0.000000,0.342020,-0.939693,36.000,680.532,1769.295,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
leg_knee_gusset_right,1363.200,878.170,1405.026,-0.000000,-0.000000,1.000000,36.000,450.000,450.000,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_1_lower,-1219.200,318.688,738.261,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_1_upper,-1219.200,1102.375,1672.223,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_2_lower,-406.400,318.688,738.261,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_2_upper,-406.400,1102.375,1672.223,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_3_lower,406.400,318.688,738.261,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_3_upper,406.400,1102.375,1672.223,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_4_lower,1219.200,318.688,738.261,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_4_upper,1219.200,1102.375,1672.223,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_center_seam_lower,-85.000,318.688,738.261,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_center_seam_upper,-85.000,1102.375,1672.223,-0.000000,0.642788,0.766044,180.000,811.264,957.102,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_splice_1,-1219.200,682.954,1228.382,-0.000000,0.642788,0.766044,180.000,284.693,329.558,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_splice_2,-406.400,682.954,1228.382,-0.000000,0.642788,0.766044,180.000,284.693,329.558,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_splice_3,406.400,682.954,1228.382,-0.000000,0.642788,0.766044,180.000,284.693,329.558,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_splice_4,1219.200,682.954,1228.382,-0.000000,0.642788,0.766044,180.000,284.693,329.558,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
face_rail_splice_5,-85.000,682.954,1228.382,-0.000000,0.642788,0.766044,180.000,284.693,329.558,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_1_standoff_lower_130,-1166.000,63.696,378.368,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_1_standoff_lower_630,-1166.000,385.090,761.390,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_1_standoff_upper_130,-1166.000,847.383,1312.329,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_1_standoff_upper_630,-1166.000,1168.777,1695.352,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_2_standoff_lower_130,-346.500,63.696,378.368,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_2_standoff_lower_630,-346.500,385.090,761.390,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_2_standoff_upper_130,-346.500,847.383,1312.329,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_2_standoff_upper_630,-346.500,1168.777,1695.352,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_3_standoff_lower_130,466.300,63.696,378.368,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_3_standoff_lower_630,466.300,385.090,761.390,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_3_standoff_upper_130,466.300,847.383,1312.329,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_3_standoff_upper_630,466.300,1168.777,1695.352,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_4_standoff_lower_130,1166.000,63.696,378.368,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_4_standoff_lower_630,1166.000,385.090,761.390,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_4_standoff_upper_130,1166.000,847.383,1312.329,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_4_standoff_upper_630,1166.000,1168.777,1695.352,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_5_standoff_lower_130,-85.000,63.696,378.368,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
rail_5_standoff_lower_630,-85.000,385.090,761.390,-0.000000,0.642788,0.766044,60.000,79.001,84.424,"O: board centerline / kicker-face plane / finished-floor plane; +X right facing board, +Y rearward, +Z upward; center and axis are world coordinates"
