connection,members,quantity,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,clearance_hole_mm,status
analysis_panel_screw_1,main_lower_left + panel_edge_bottom,1,-1169.200,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_2,main_lower_left + panel_edge_bottom,1,-796.133,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_3,main_lower_left + panel_edge_bottom,1,-423.067,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_4,main_lower_left + panel_edge_bottom,1,-50.000,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_5,main_lower_left + panel_seam_horizontal,1,-1169.200,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_6,main_lower_left + panel_seam_horizontal,1,-793.133,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_7,main_lower_left + panel_seam_horizontal,1,-445.067,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_8,main_lower_left + panel_seam_horizontal,1,-50.000,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_9,main_lower_left + panel_edge_left_lower,1,-1169.200,253.942,549.088,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_10,main_lower_left + panel_edge_left_lower,1,-1169.200,493.745,834.874,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
