feature,label,x_mm,y_mm,diameter_mm,note
T-nut,A1,200.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,A2,200.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,A3,200.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,A4,200.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,A5,200.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,A6,200.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,A7,200.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,A8,200.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,A9,200.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,A10,200.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,A11,200.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,A12,200.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,B1,400.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,B2,400.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,B3,400.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,B4,400.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,B5,400.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,B6,400.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,B7,400.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,B8,400.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,B9,400.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,B10,400.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,B11,400.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,B12,400.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,C1,600.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,C2,600.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,C3,600.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,C4,600.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,C5,600.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,C6,600.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,C7,600.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,C8,600.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,C9,600.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,C10,600.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,C11,600.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,C12,600.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,D1,800.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,D2,800.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,D3,800.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,D4,800.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,D5,800.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,D6,800.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,D7,800.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,D8,800.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,D9,800.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,D10,800.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,D11,800.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,D12,800.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,E1,1000.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,E2,1000.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,E3,1000.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,E4,1000.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,E5,1000.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,E6,1000.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,E7,1000.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,E8,1000.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,E9,1000.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,E10,1000.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,E11,1000.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,E12,1000.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,F1,1200.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,F2,1200.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,F3,1200.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,F4,1200.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,F5,1200.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,F6,1200.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,F7,1200.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,F8,1200.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,F9,1200.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,F10,1200.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,F11,1200.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,F12,1200.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,G1,1400.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,G2,1400.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,G3,1400.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,G4,1400.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,G5,1400.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,G6,1400.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,G7,1400.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,G8,1400.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,G9,1400.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,G10,1400.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,G11,1400.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,G12,1400.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,H1,1600.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,H2,1600.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,H3,1600.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,H4,1600.000,680.000,11.112,Escape 3/8-16: offcut test required
