connection,members
analysis_seat_bolt_left_1_1,box_side_left + cross_seat_left_1
analysis_cross_screw_left_1_1,rear_cross_1 + cross_seat_left_1
analysis_seat_bolt_left_1_2,box_side_left + cross_seat_left_1
analysis_cross_screw_left_1_2,rear_cross_1 + cross_seat_left_1
analysis_seat_bolt_left_2_1,box_side_left + cross_seat_left_2
analysis_cross_screw_left_2_1,rear_cross_2 + cross_seat_left_2
analysis_seat_bolt_left_2_2,box_side_left + cross_seat_left_2
analysis_cross_screw_left_2_2,rear_cross_2 + cross_seat_left_2
analysis_seat_bolt_left_3_1,box_side_left + cross_seat_left_3
analysis_cross_screw_left_3_1,rear_cross_3 + cross_seat_left_3
analysis_seat_bolt_left_3_2,box_side_left + cross_seat_left_3
analysis_cross_screw_left_3_2,rear_cross_3 + cross_seat_left_3
analysis_edge_screw_left_1,box_side_left + panel_edge_left_lower
analysis_edge_screw_left_2,box_side_left + panel_edge_left_lower
analysis_edge_screw_left_3,box_side_left + panel_edge_left_lower
analysis_edge_screw_left_4,box_side_left + panel_edge_left_upper
analysis_edge_screw_left_5,box_side_left + panel_edge_left_upper
analysis_edge_screw_left_6,box_side_left + panel_edge_left_upper
analysis_batten_end_left_1,box_side_left + panel_edge_bottom
analysis_batten_end_left_2,box_side_left + panel_seam_horizontal
analysis_batten_end_left_3,box_side_left + panel_seam_horizontal
analysis_batten_end_left_4,box_side_left + panel_edge_top
analysis_top_end_left_1,box_side_left + box_top
analysis_top_end_left_2,box_side_left + box_top
analysis_top_end_left_3,box_side_left + box_top
analysis_cheek_splice_left_1,cheek_splice_left + kicker_cheek_left
analysis_cheek_splice_left_2,cheek_splice_left + kicker_cheek_left
analysis_cheek_splice_left_3,cheek_splice_left + box_side_left
analysis_cheek_splice_left_4,cheek_splice_left + box_side_left
analysis_kicker_end_left_1,kicker_cheek_left + kicker_batten_bottom
analysis_kicker_end_left_2,kicker_cheek_left + kicker_batten_top
analysis_seat_bolt_right_1_1,box_side_right + cross_seat_right_1
analysis_cross_screw_right_1_1,rear_cross_1 + cross_seat_right_1
analysis_seat_bolt_right_1_2,box_side_right + cross_seat_right_1
analysis_cross_screw_right_1_2,rear_cross_1 + cross_seat_right_1
analysis_seat_bolt_right_2_1,box_side_right + cross_seat_right_2
analysis_cross_screw_right_2_1,rear_cross_2 + cross_seat_right_2
analysis_seat_bolt_right_2_2,box_side_right + cross_seat_right_2
analysis_cross_screw_right_2_2,rear_cross_2 + cross_seat_right_2
analysis_seat_bolt_right_3_1,box_side_right + cross_seat_right_3
analysis_cross_screw_right_3_1,rear_cross_3 + cross_seat_right_3
analysis_seat_bolt_right_3_2,box_side_right + cross_seat_right_3
analysis_cross_screw_right_3_2,rear_cross_3 + cross_seat_right_3
analysis_edge_screw_right_1,box_side_right + panel_edge_right_lower
analysis_edge_screw_right_2,box_side_right + panel_edge_right_lower
analysis_edge_screw_right_3,box_side_right + panel_edge_right_lower
analysis_edge_screw_right_4,box_side_right + panel_edge_right_upper
analysis_edge_screw_right_5,box_side_right + panel_edge_right_upper
analysis_edge_screw_right_6,box_side_right + panel_edge_right_upper
analysis_batten_end_right_1,box_side_right + panel_edge_bottom
analysis_batten_end_right_2,box_side_right + panel_seam_horizontal
analysis_batten_end_right_3,box_side_right + panel_seam_horizontal
analysis_batten_end_right_4,box_side_right + panel_edge_top
analysis_top_end_right_1,box_side_right + box_top
analysis_top_end_right_2,box_side_right + box_top
analysis_top_end_right_3,box_side_right + box_top
analysis_cheek_splice_right_1,cheek_splice_right + kicker_cheek_right
analysis_cheek_splice_right_2,cheek_splice_right + kicker_cheek_right
analysis_cheek_splice_right_3,cheek_splice_right + box_side_right
analysis_cheek_splice_right_4,cheek_splice_right + box_side_right
analysis_kicker_end_right_1,kicker_cheek_right + kicker_batten_bottom
analysis_kicker_end_right_2,kicker_cheek_right + kicker_batten_top
analysis_rib_front_1_left,panel_seam_vertical_lower + seam_rib_1_left
analysis_rib_back_1_left,rear_cross_1 + seam_rib_1_left
analysis_rib_front_1_right,panel_seam_vertical_lower + seam_rib_1_right
analysis_rib_back_1_right,rear_cross_1 + seam_rib_1_right
analysis_rib_front_2_left,panel_seam_horizontal + seam_rib_2_left
analysis_rib_back_2_left,rear_cross_2 + seam_rib_2_left
analysis_rib_front_2_right,panel_seam_horizontal + seam_rib_2_right
analysis_rib_back_2_right,rear_cross_2 + seam_rib_2_right
analysis_rib_front_3_left,panel_seam_vertical_upper + seam_rib_3_left
analysis_rib_back_3_left,rear_cross_3 + seam_rib_3_left
analysis_rib_front_3_right,panel_seam_vertical_upper + seam_rib_3_right
analysis_rib_back_3_right,rear_cross_3 + seam_rib_3_right
analysis_kicker_screw_left_bottom_0,kicker_left + kicker_batten_bottom
analysis_kicker_screw_left_bottom_1,kicker_left + kicker_batten_bottom
analysis_kicker_screw_left_bottom_2,kicker_left + kicker_batten_bottom
analysis_kicker_screw_left_bottom_3,kicker_left + kicker_batten_bottom
analysis_kicker_screw_left_top_0,kicker_left + kicker_batten_top
analysis_kicker_screw_left_top_1,kicker_left + kicker_batten_top
analysis_kicker_screw_left_top_2,kicker_left + kicker_batten_top
analysis_kicker_screw_left_top_3,kicker_left + kicker_batten_top
analysis_kicker_screw_right_bottom_0,kicker_right + kicker_batten_bottom
analysis_kicker_screw_right_bottom_1,kicker_right + kicker_batten_bottom
analysis_kicker_screw_right_bottom_2,kicker_right + kicker_batten_bottom
analysis_kicker_screw_right_bottom_3,kicker_right + kicker_batten_bottom
analysis_kicker_screw_right_top_0,kicker_right + kicker_batten_top
analysis_kicker_screw_right_top_1,kicker_right + kicker_batten_top
analysis_kicker_screw_right_top_2,kicker_right + kicker_batten_top
analysis_kicker_screw_right_top_3,kicker_right + kicker_batten_top
