sheet,stock_thickness_mm,part,layer,x_mm,y_mm,width_mm,length_mm,kerf_mm
1,18.0,main_lower_left,1,0,0,1219.2,1219.2,2.4
2,18.0,main_lower_right,1,0,0,1219.2,1219.2,2.4
3,18.0,main_upper_left,1,0,0,1219.2,1219.2,2.4
4,18.0,main_upper_right,1,0,0,1219.2,1219.2,2.4
5,18.0,kicker_left,1,0,0,225.0,1219.2,2.4
5,18.0,kicker_right,1,227.4,0,225.0,1219.2,2.4
6,19.05,box_side_left,1,0,0,322.8,2438.4,2.4
6,19.05,box_side_left,2,325.2,0,322.8,2438.4,2.4
6,19.05,box_side_right,1,650.4,0,322.8,2438.4,2.4
7,19.05,box_side_right,2,0,0,322.8,2438.4,2.4
7,19.05,box_top,1,325.2,0,266.7,2438.4,2.4
7,19.05,box_top,2,594.3,0,266.7,2438.4,2.4
6,19.05,panel_seam_horizontal,1,975.5999999999999,0,140.0,2438.4,2.4
7,19.05,panel_seam_horizontal,2,863.3999999999999,0,140.0,2438.4,2.4
6,19.05,panel_edge_bottom,1,1118.0,0,70.0,2438.4,2.4
7,19.05,panel_edge_bottom,2,1005.7999999999998,0,70.0,2438.4,2.4
7,19.05,panel_edge_top,1,1078.1999999999998,0,70.0,2438.4,2.4
8,19.05,panel_edge_top,2,0,0,70.0,2438.4,2.4
7,19.05,rear_cross_1,1,1150.6,0,60,2438.4,2.4
8,19.05,rear_cross_1,2,72.4,0,60,2438.4,2.4
8,19.05,rear_cross_2,1,134.8,0,60,2438.4,2.4
8,19.05,rear_cross_2,2,197.20000000000002,0,60,2438.4,2.4
8,19.05,rear_cross_3,1,259.6,0,60,2438.4,2.4
8,19.05,rear_cross_3,2,322.0,0,60,2438.4,2.4
8,19.05,kicker_batten_bottom,1,384.4,0,50,2438.4,2.4
8,19.05,kicker_batten_bottom,2,436.79999999999995,0,50,2438.4,2.4
8,19.05,kicker_batten_top,1,489.19999999999993,0,50,2438.4,2.4
8,19.05,kicker_batten_top,2,541.5999999999999,0,50,2438.4,2.4
9,19.05,leg_left,1,0,0,734.7838714967289,1872.6553934704941,2.4
10,19.05,leg_left,2,0,0,734.7838714967289,1872.6553934704941,2.4
11,19.05,leg_right,1,0,0,734.7838714967289,1872.6553934704941,2.4
12,19.05,leg_right,2,0,0,734.7838714967289,1872.6553934704941,2.4
8,19.05,panel_seam_vertical_lower,1,593.9999999999999,0,140.0,1079.2,2.4
8,19.05,panel_seam_vertical_lower,2,736.3999999999999,0,140.0,1079.2,2.4
8,19.05,panel_seam_vertical_upper,1,878.7999999999998,0,140.0,1079.2,2.4
8,19.05,panel_seam_vertical_upper,2,1021.1999999999998,0,140.0,1079.2,2.4
9,19.05,panel_edge_left_lower,1,737.1838714967289,0,70.0,1079.2,2.4
9,19.05,panel_edge_left_lower,2,809.5838714967289,0,70.0,1079.2,2.4
9,19.05,panel_edge_left_upper,1,881.9838714967289,0,70.0,1079.2,2.4
9,19.05,panel_edge_left_upper,2,954.3838714967288,0,70.0,1079.2,2.4
9,19.05,panel_edge_right_lower,1,1026.7838714967288,0,70.0,1079.2,2.4
9,19.05,panel_edge_right_lower,2,1099.183871496729,0,70.0,1079.2,2.4
10,19.05,panel_edge_right_upper,1,737.1838714967289,0,70.0,1079.2,2.4
10,19.05,panel_edge_right_upper,2,809.5838714967289,0,70.0,1079.2,2.4
9,19.05,kicker_cheek_left,1,0,1875.0553934704942,247.2791462388061,432.49184040681484,2.4
9,19.05,kicker_cheek_left,2,249.6791462388061,1875.0553934704942,247.2791462388061,432.49184040681484,2.4
9,19.05,kicker_cheek_right,1,499.3582924776122,1875.0553934704942,247.2791462388061,432.49184040681484,2.4
9,19.05,kicker_cheek_right,2,749.0374387164184,1875.0553934704942,247.2791462388061,432.49184040681484,2.4
8,19.05,seam_rib_1_left,1,1163.6,0,38.1,206.70000000000002,2.4
9,19.05,seam_rib_1_left,2,1171.583871496729,0,38.1,206.70000000000002,2.4
9,19.05,seam_rib_1_right,1,998.7165849552244,1875.0553934704942,38.1,206.70000000000002,2.4
9,19.05,seam_rib_1_right,2,1039.2165849552243,1875.0553934704942,38.1,206.70000000000002,2.4
9,19.05,seam_rib_2_left,1,1079.7165849552243,1875.0553934704942,38.1,206.70000000000002,2.4
9,19.05,seam_rib_2_left,2,1120.2165849552243,1875.0553934704942,38.1,206.70000000000002,2.4
9,19.05,seam_rib_2_right,1,1160.7165849552243,1875.0553934704942,38.1,206.70000000000002,2.4
10,19.05,seam_rib_2_right,2,881.9838714967289,0,38.1,206.70000000000002,2.4
10,19.05,seam_rib_3_left,1,922.4838714967289,0,38.1,206.70000000000002,2.4
10,19.05,seam_rib_3_left,2,962.9838714967289,0,38.1,206.70000000000002,2.4
10,19.05,seam_rib_3_right,1,1003.4838714967289,0,38.1,206.70000000000002,2.4
10,19.05,seam_rib_3_right,2,1043.9838714967289,0,38.1,206.70000000000002,2.4
10,19.05,cheek_splice_left,1,0,1875.0553934704942,200,200,2.4
10,19.05,cheek_splice_left,2,202.4,1875.0553934704942,200,200,2.4
10,19.05,cheek_splice_right,1,404.8,1875.0553934704942,200,200,2.4
10,19.05,cheek_splice_right,2,607.2,1875.0553934704942,200,200,2.4
9,19.05,cross_seat_left_1,1,0,2309.947233877309,80,110,2.4
9,19.05,cross_seat_left_1,2,82.4,2309.947233877309,80,110,2.4
9,19.05,cross_seat_left_2,1,164.8,2309.947233877309,80,110,2.4
9,19.05,cross_seat_left_2,2,247.20000000000002,2309.947233877309,80,110,2.4
9,19.05,cross_seat_left_3,1,329.6,2309.947233877309,80,110,2.4
9,19.05,cross_seat_left_3,2,412.0,2309.947233877309,80,110,2.4
9,19.05,cross_seat_right_1,1,494.4,2309.947233877309,80,110,2.4
9,19.05,cross_seat_right_1,2,576.8,2309.947233877309,80,110,2.4
9,19.05,cross_seat_right_2,1,659.1999999999999,2309.947233877309,80,110,2.4
9,19.05,cross_seat_right_2,2,741.5999999999999,2309.947233877309,80,110,2.4
9,19.05,cross_seat_right_3,1,823.9999999999999,2309.947233877309,80,110,2.4
9,19.05,cross_seat_right_3,2,906.3999999999999,2309.947233877309,80,110,2.4
