connection,kind,members,length_mm,length_in,diameter_mm,diameter_in,grip_mm,grip_in,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,status
analysis_leg_wall_bolt_left_1,bolt,base_side_left + leg_left_inner + leg_left_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,-1179.0680000000002,901.3593768170904,1463.8931115651142,-1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_left_2,bolt,base_side_left + leg_left_inner + leg_left_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,-1179.0680000000002,952.7823855920134,1525.1766670146324,-1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_left_3,bolt,base_side_left + leg_left_inner + leg_left_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,-1179.0680000000002,1029.9168987543983,1617.1020001889096,-1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_left_4,bolt,base_side_left + leg_left_inner + leg_left_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,-1179.0680000000002,1081.3399075293212,1678.385555638428,-1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_right_1,bolt,base_side_right + leg_right_inner + leg_right_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,1179.0680000000002,901.3593768170904,1463.8931115651142,1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_right_2,bolt,base_side_right + leg_right_inner + leg_right_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,1179.0680000000002,952.7823855920134,1525.1766670146324,1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_right_3,bolt,base_side_right + leg_right_inner + leg_right_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,1179.0680000000002,1029.9168987543983,1617.1020001889096,1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
analysis_leg_wall_bolt_right_4,bolt,base_side_right + leg_right_inner + leg_right_outer,95.25,3.75,9.525,0.37500000000000006,76.2,3.0000000000000004,1179.0680000000002,1081.3399075293212,1678.385555638428,1.0,0.0,0.0,Selected Conquest HBA-38X334 3/8-16 x3.75in with selected maximum nut/washer envelopes; grip and strength require validation
leg_stitch_left_1,bolt,leg_left_inner + leg_left_outer,63.5,2.5,9.525,0.37500000000000006,38.1,1.5000000000000002,-1217.1680000000001,971.0333737790937,1134.3443559823804,-1.0,0.0,0.0,Provisional Conquest-family 3/8-16 x2.5in with selected maximum nut/washer envelopes; grip and strength require validation
leg_stitch_left_2,bolt,leg_left_inner + leg_left_outer,63.5,2.5,9.525,0.37500000000000006,38.1,1.5000000000000002,-1217.1680000000001,1133.3952540938872,708.9652224889878,-1.0,0.0,0.0,Provisional Conquest-family 3/8-16 x2.5in with selected maximum nut/washer envelopes; grip and strength require validation
leg_stitch_left_3,bolt,leg_left_inner + leg_left_outer,63.5,2.5,9.525,0.37500000000000006,38.1,1.5000000000000002,-1217.1680000000001,1295.7571344086807,283.586088995595,-1.0,0.0,0.0,Provisional Conquest-family 3/8-16 x2.5in with selected maximum nut/washer envelopes; grip and strength require validation
leg_stitch_right_1,bolt,leg_right_inner + leg_right_outer,63.5,2.5,9.525,0.37500000000000006,38.1,1.5000000000000002,1217.1680000000001,971.0333737790937,1134.3443559823804,1.0,0.0,0.0,Provisional Conquest-family 3/8-16 x2.5in with selected maximum nut/washer envelopes; grip and strength require validation
leg_stitch_right_2,bolt,leg_right_inner + leg_right_outer,63.5,2.5,9.525,0.37500000000000006,38.1,1.5000000000000002,1217.1680000000001,1133.3952540938872,708.9652224889878,1.0,0.0,0.0,Provisional Conquest-family 3/8-16 x2.5in with selected maximum nut/washer envelopes; grip and strength require validation
leg_stitch_right_3,bolt,leg_right_inner + leg_right_outer,63.5,2.5,9.525,0.37500000000000006,38.1,1.5000000000000002,1217.1680000000001,1295.7571344086807,283.586088995595,1.0,0.0,0.0,Provisional Conquest-family 3/8-16 x2.5in with selected maximum nut/washer envelopes; grip and strength require validation
clip_timber_top_left_1_beam_1,screw,clip_timber_top_left_1 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_1_beam_2,screw,clip_timber_top_left_1 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_1_beam_3,screw,clip_timber_top_left_1 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_1_upright_1,screw,clip_timber_top_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,1390.7352467286478,2129.445246197717,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_1_upright_2,screw,clip_timber_top_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,1415.8398386899714,2100.0906560548547,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_1_upright_3,screw,clip_timber_top_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,1449.1078332943139,2080.4648303396025,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
