connection,members,face_x_mm,face_y_mm,face_z_mm,receiver_x_mm,receiver_y_mm,receiver_z_mm,axis_x,axis_y,axis_z,panel_clearance_mm,panel_clearance_in,receiver_pilot_mm,receiver_pilot_in,receiver_pilot_depth_mm,receiver_pilot_depth_in,insert_nominal_od_mm,insert_nominal_od_in,insert_max_od_reservation_mm,insert_max_od_reservation_in,effective_engagement_mm,status
timber_panel_lower_left_1,main_lower_left + base_side_left,-1200.15,20.76355546974159,270.7979522621565,-1200.15,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_2,main_lower_left + base_side_left,-1200.15,727.3156960371856,1112.8340041385372,-1200.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_3,main_lower_left + timber_bottom_backing,-57.15,20.76355546974159,270.7979522621565,-57.15,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_4,main_lower_left + base_principal_left,-57.15,727.3156960371856,1112.8340041385372,-57.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_5,main_lower_left + base_side_left,-1200.15,243.42518346515874,536.1557473585705,-1200.15,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_6,main_lower_left + base_side_left,-1200.15,504.65406804176826,847.4762090421231,-1200.15,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_7,main_lower_left + base_principal_left,-57.15,243.42518346515874,536.1557473585705,-57.15,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_8,main_lower_left + base_principal_left,-57.15,504.65406804176826,847.4762090421231,-57.15,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_9,main_lower_left + timber_bottom_backing,-791.1500000000001,-5.558597146922189,239.42843231643434,-791.1500000000001,-19.54369601161303,251.16332361577423,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_10,main_lower_left + timber_bottom_backing,-448.1500000000001,-5.558597146922189,239.42843231643434,-448.1500000000001,-19.54369601161303,251.16332361577423,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_11,main_lower_left + base_rail_mid_lower_left,-791.1500000000001,753.6378486538493,1144.2035240842595,-791.1500000000001,739.6527497891585,1155.9384153835992,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_left_12,main_lower_left + base_rail_mid_lower_left,-448.1500000000001,753.6378486538493,1144.2035240842595,-448.1500000000001,739.6527497891585,1155.9384153835992,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_1,main_lower_right + timber_bottom_backing,19.05,20.76355546974159,270.7979522621565,19.05,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_2,main_lower_right + base_principal_right,19.05,727.3156960371856,1112.8340041385372,19.05,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_3,main_lower_right + base_side_right,1200.15,20.76355546974159,270.7979522621565,1200.15,6.778456605050749,282.5328435614964,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_4,main_lower_right + base_side_right,1200.15,727.3156960371856,1112.8340041385372,1200.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_5,main_lower_right + base_principal_right,19.05,243.42518346515874,536.1557473585705,19.05,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_6,main_lower_right + base_principal_right,19.05,504.65406804176826,847.4762090421231,19.05,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_7,main_lower_right + base_side_right,1200.15,243.42518346515874,536.1557473585705,1200.15,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_8,main_lower_right + base_side_right,1200.15,504.65406804176826,847.4762090421231,1200.15,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_9,main_lower_right + timber_bottom_backing,412.75000000000006,-5.558597146922189,239.42843231643434,412.75000000000006,-19.54369601161303,251.16332361577423,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_10,main_lower_right + timber_bottom_backing,809.45,-5.558597146922189,239.42843231643434,809.45,-19.54369601161303,251.16332361577423,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_11,main_lower_right + base_rail_mid_lower_right,412.75000000000006,753.6378486538493,1144.2035240842595,412.75000000000006,739.6527497891585,1155.9384153835992,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_lower_right_12,main_lower_right + base_rail_mid_lower_right,809.45,753.6378486538493,1144.2035240842595,809.45,739.6527497891585,1155.9384153835992,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_1,main_upper_left + base_side_left,-1200.15,804.4502091995703,1204.7593373128148,-1200.15,790.4651103348795,1216.4942286121545,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_2,main_upper_left + base_side_left,-1200.15,1485.2908453795526,2016.1536114644362,-1200.15,1471.3057465148618,2027.888502763776,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_3,main_upper_left + base_principal_left,-57.15,804.4502091995703,1204.7593373128148,-57.15,790.4651103348795,1216.4942286121545,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_4,main_upper_left + base_principal_left,-57.15,1485.2908453795526,2016.1536114644362,-57.15,1471.3057465148618,2027.888502763776,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_5,main_upper_left + base_side_left,-1200.15,1027.1118371949874,1470.1171324092286,-1200.15,1013.1267383302966,1481.8520237085684,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_6,main_upper_left + base_side_left,-1200.15,1288.3407217715971,1781.4375940927814,-1200.15,1274.3556229069063,1793.1724853921212,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
timber_panel_upper_left_7,main_upper_left + base_principal_left,-57.15,1027.1118371949874,1470.1171324092286,-57.15,1013.1267383302966,1481.8520237085684,0.0,-0.766044443118978,0.6427876096865393,7.0,0.2755905511811024,9.128125,0.35937500000000006,17.0,0.6692913385826772,11.5062,0.453,12.1412,0.47800000000000004,unknown,Provisional geometry: insert OD is not pilot diameter; depth and engagement require qualification
