connection,panel,receiver,entry_xyz_mm,direction_xyz,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
round_panel_lower_left_rim_1,main_lower_left,base_side_left,"[-1200.15, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_rim_2,main_lower_left,base_side_left,"[-1200.15, 236.53217456067614, 556.3426623469898]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_rim_3,main_lower_left,base_side_left,"[-1200.15, 466.89654074550367, 830.8802233534461]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_rim_4,main_lower_left,base_side_left,"[-1200.15, 697.2609069303312, 1105.4177843599025]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_center_1,main_lower_left,base_principal_center_left,"[-70.0, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_center_2,main_lower_left,base_principal_center_left,"[-70.0, 236.53217456067614, 556.3426623469898]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_center_3,main_lower_left,base_principal_center_left,"[-70.0, 466.89654074550367, 830.8802233534461]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_center_4,main_lower_left,base_principal_center_left,"[-70.0, 697.2609069303312, 1105.4177843599025]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_edge_1,main_lower_left,base_rail_bottom_left,"[-446.7166666666667, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_edge_2,main_lower_left,base_rail_bottom_left,"[-823.4333333333334, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_service_1,main_lower_left,base_rail_service_lower_left,"[-446.7166666666667, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_lower_left_service_2,main_lower_left,base_rail_service_lower_left,"[-823.4333333333334, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_rim_1,main_upper_left,base_side_left,"[-1200.15, 789.8544621056772, 1215.7664863911914]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_rim_2,main_upper_left,base_side_left,"[-1200.15, 1020.2188282905049, 1490.304047397648]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_rim_3,main_upper_left,base_side_left,"[-1200.15, 1250.5831944753327, 1764.8416084041044]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_rim_4,main_upper_left,base_side_left,"[-1200.15, 1480.94756066016, 2039.3791694105607]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_center_1,main_upper_left,base_principal_center_left,"[-70.0, 789.8544621056772, 1215.7664863911914]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_center_2,main_upper_left,base_principal_center_left,"[-70.0, 1020.2188282905049, 1490.304047397648]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_center_3,main_upper_left,base_principal_center_left,"[-70.0, 1250.5831944753327, 1764.8416084041044]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
round_panel_upper_left_center_4,main_upper_left,base_principal_center_left,"[-70.0, 1480.94756066016, 2039.3791694105607]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
