name,panel,receiver,x,s,role,from_left_mm,from_bottom_mm,station_axis,pilot_diameter_mm,qualified_for_machining,attachment,insert_sku,machine_screw_sku,panel_clearance_reservation_mm,insert_body_nominal_od_mm,insert_body_maximum_reservation_od_mm,manufacturer_pilot_recommendation_mm,receiver_reserve_depth_mm,head_angle_product_min_deg,head_angle_product_max_deg,head_envelope_max_diameter_mm,machining_countersink_angle_deg,machining_countersink_depth_mm,panel_front_world_mm,receiver_face_world_mm,insert_front_world_mm,drill_direction_world,insert_recess_mm,minimum_gross_reach_from_insert_front_mm,nominal_gross_reach_from_insert_front_mm,maximum_insert_back_from_receiver_face_mm,ideal_118_degree_drill_point_mm,remaining_reserve_after_insert_and_point_mm,effective_thread_engagement_mm,qualified_installation_torque_nm,status
round_panel_lower_left_rim_1,main_lower_left,base_side_left,-1200.15,59.05,rim,19.049999999999955,59.05,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-1200.15, 20.152907240539378, 270.0702100411935]","[-1200.15, 6.167808375848537, 281.8051013405334]","[-1200.15, 5.976297265068792, 281.96579824295503]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_rim_2,main_lower_left,base_side_left,-1200.15,417.4333333333334,rim,19.049999999999955,417.4333333333334,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-1200.15, 250.51727342536697, 544.6077710476499]","[-1200.15, 236.53217456067614, 556.3426623469898]","[-1200.15, 236.34066344989637, 556.5033592494113]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_rim_3,main_lower_left,base_side_left,-1200.15,775.8166666666667,rim,19.049999999999955,775.8166666666667,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-1200.15, 480.8816396101945, 819.1453320541062]","[-1200.15, 466.89654074550367, 830.8802233534461]","[-1200.15, 466.7050296347239, 831.0409202558677]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_rim_4,main_lower_left,base_side_left,-1200.15,1134.2,rim,19.049999999999955,1134.2,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-1200.15, 711.246005795022, 1093.6828930605627]","[-1200.15, 697.2609069303312, 1105.4177843599025]","[-1200.15, 697.0693958195515, 1105.5784812623242]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_center_1,main_lower_left,base_principal_center_left,-70.0,59.05,center,1149.2,59.05,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-70.0, 20.152907240539378, 270.0702100411935]","[-70.0, 6.167808375848537, 281.8051013405334]","[-70.0, 5.976297265068792, 281.96579824295503]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_center_2,main_lower_left,base_principal_center_left,-70.0,417.4333333333334,center,1149.2,417.4333333333334,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-70.0, 250.51727342536697, 544.6077710476499]","[-70.0, 236.53217456067614, 556.3426623469898]","[-70.0, 236.34066344989637, 556.5033592494113]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_center_3,main_lower_left,base_principal_center_left,-70.0,775.8166666666667,center,1149.2,775.8166666666667,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-70.0, 480.8816396101945, 819.1453320541062]","[-70.0, 466.89654074550367, 830.8802233534461]","[-70.0, 466.7050296347239, 831.0409202558677]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_center_4,main_lower_left,base_principal_center_left,-70.0,1134.2,center,1149.2,1134.2,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-70.0, 711.246005795022, 1093.6828930605627]","[-70.0, 697.2609069303312, 1105.4177843599025]","[-70.0, 697.0693958195515, 1105.5784812623242]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_edge_1,main_lower_left,base_rail_bottom_left,-446.7166666666667,59.05,edge,772.4833333333333,59.05,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-446.7166666666667, 20.152907240539378, 270.0702100411935]","[-446.7166666666667, 6.167808375848537, 281.8051013405334]","[-446.7166666666667, 5.976297265068792, 281.96579824295503]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
round_panel_lower_left_edge_2,main_lower_left,base_rail_bottom_left,-823.4333333333334,59.05,edge,395.76666666666665,59.05,slope S,,False,machine_screw_and_threaded_insert,801420-13,FMDD14114,7.0,11.5062,12.1412,9.128125,17.0,80,82,12.1158,,,"[-823.4333333333334, 20.152907240539378, 270.0702100411935]","[-823.4333333333334, 6.167808375848537, 281.8051013405334]","[-823.4333333333334, 5.976297265068792, 281.96579824295503]","[0.0, -0.766044443118978, 0.6427876096865393]",0.25,11.719750000000001,13.243750000000002,13.8898,2.7423654190304747,0.36783458096952604,,,"E-Z LOK 801420-13 zinc insert and Dottie FMDD14114 machine screw; nominal insert and maximum head clearance envelopes; provisional 0.25 mm recess, 7 mm panel clearance and 17 mm receiver reserve; unknown thread runouts/drive recess, clamp force, head bearing and wood resistance; NOT build-ready"
