part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
main_lower_left,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
main_lower_right,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
main_upper_left,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
main_upper_right,1,1219.2,1219.2,18.0,48.00000000000001,48.00000000000001,0.7086614173228347,18 mm climbing plywood; 12 perimeter + 4 mid-batten screws
kicker_left,1,1219.2,225.0,18.0,48.00000000000001,8.858267716535433,0.7086614173228347,18 mm kicker plywood; eight perimeter screws
kicker_right,1,1219.2,225.0,18.0,48.00000000000001,8.858267716535433,0.7086614173228347,18 mm kicker plywood; eight perimeter screws
box_side_left,1,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,2x8 dry dressed lumber; grade/species unresolved
leg_left_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
leg_left_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
box_side_right,1,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,2x8 dry dressed lumber; grade/species unresolved
leg_right_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
