part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
main_lower_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"23/32 CAT face plywood; fixed backplane N=0; category not measured thickness; Selected-product fit candidate, unqualified; project bores/pilots and head-seat envelopes are NOT machining instructions or structural approval; no capacity credit"
main_lower_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"23/32 CAT face plywood; fixed backplane N=0; category not measured thickness; Selected-product fit candidate, unqualified; project bores/pilots and head-seat envelopes are NOT machining instructions or structural approval; no capacity credit"
main_upper_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"23/32 CAT face plywood; fixed backplane N=0; category not measured thickness; Selected-product fit candidate, unqualified; project bores/pilots and head-seat envelopes are NOT machining instructions or structural approval; no capacity credit"
main_upper_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"23/32 CAT face plywood; fixed backplane N=0; category not measured thickness; Selected-product fit candidate, unqualified; project bores/pilots and head-seat envelopes are NOT machining instructions or structural approval; no capacity credit"
kicker_left,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"23/32 CAT kicker; fixed Y=-36 backplane; top locally trimmed against main face, STEP seam profile governs; category not measured thickness; Selected-product fit candidate, unqualified; project bores/pilots and head-seat envelopes are NOT machining instructions or structural approval; no capacity credit"
kicker_right,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"23/32 CAT kicker; fixed Y=-36 backplane; top locally trimmed against main face, STEP seam profile governs; category not measured thickness; Selected-product fit candidate, unqualified; project bores/pilots and head-seat envelopes are NOT machining instructions or structural approval; no capacity credit"
box_side_left,1,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,2x8 dry dressed lumber; grade/species unresolved
leg_left_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
leg_left_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
box_side_right,1,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,2x8 dry dressed lumber; grade/species unresolved
leg_right_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
leg_right_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"PROVISIONAL independent 19.05 mm plywood profile; no adhesive or interface-friction credit; continuous knee, own floor face, three internal stitch stations; panel axes follow lower centreline; material, hardware and resistance unresolved; bounding blank, STEP profile governs"
box_top,1,2514.6,184.15,38.1,99.0,7.250000000000001,1.5000000000000002,2x8 top cap; detachable bolted steel angles
kicker_batten_bottom,1,2438.4,50,38.1,96.00000000000001,1.968503937007874,1.5000000000000002,lumber backing ripped to 50 mm from 2x4; top has LED relief notches
kicker_batten_top,1,2438.4,50,38.1,96.00000000000001,1.968503937007874,1.5000000000000002,lumber backing ripped to 50 mm from 2x4; top has LED relief notches
kicker_cheek_left,2,343.3693383237762,141.0670842003598,38.1,13.518477886762843,5.553822212612591,1.5000000000000002,two-layer plywood floor-reaching transition
angle_left_top,1,100,100,88.9,3.937007874015748,3.937007874015748,3.5000000000000004,"STEEL custom 100x100x6 angle, 88.9 long; nominal sharp corner; fabrication/capacity unresolved"
angle_left_cross_1,2,100,100,88.9,3.937007874015748,3.937007874015748,3.5000000000000004,"STEEL custom 100x100x6 angle, 88.9 long; nominal, capacity unresolved"
angle_left_cross_2,2,100,100,88.9,3.937007874015748,3.937007874015748,3.5000000000000004,"STEEL custom 100x100x6 angle, 88.9 long; nominal, capacity unresolved"
angle_left_cross_3,2,100,100,88.9,3.937007874015748,3.937007874015748,3.5000000000000004,"STEEL custom 100x100x6 angle, 88.9 long; nominal, capacity unresolved"
kicker_cheek_right,2,343.3693383237762,141.0670842003598,38.1,13.518477886762843,5.553822212612591,1.5000000000000002,two-layer plywood floor-reaching transition
