connection,kind,members,length_mm,diameter_mm,x_mm,y_mm,z_mm,dx,dy,dz,status
clip_single_top_left_1_beam_1,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_beam_2,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_beam_3,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_1,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1390.7352467286478,2129.445246197717,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_2,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1415.8398386899714,2100.0906560548547,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_3,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1449.1078332943139,2080.4648303396025,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_beam_1,screw,clip_single_top_left_2 + base_rail_top,38.1,6.35,-73.99274,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_beam_2,screw,clip_single_top_left_2 + base_rail_top,38.1,6.35,-67.64274,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_beam_3,screw,clip_single_top_left_2 + base_rail_top,38.1,6.35,-73.99274,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_upright_1,screw,clip_single_top_left_2 + base_principal_center,38.1,6.35,-34.30524,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_upright_2,screw,clip_single_top_left_2 + base_principal_center,38.1,6.35,-34.30524,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_upright_3,screw,clip_single_top_left_2 + base_principal_center,38.1,6.35,-34.30524,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_1,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_2,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_3,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_1,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_2,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_3,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_beam_1,screw,clip_single_mid_left_1 + base_rail_mid_left,38.1,6.35,-1138.8572600000002,632.5592262582538,1225.8862499833438,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_beam_2,screw,clip_single_mid_left_1 + base_rail_mid_left,38.1,6.35,-1145.2072600000001,661.7455195410868,1201.3960420542865,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_beam_3,screw,clip_single_mid_left_1 + base_rail_mid_left,38.1,6.35,-1138.8572600000002,690.9318128239197,1176.9058341252291,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_upright_1,screw,clip_single_mid_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,611.1302943203287,1200.348243360865,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_upright_2,screw,clip_single_mid_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,636.2348862816522,1170.993653218002,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_upright_3,screw,clip_single_mid_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,669.5028808859946,1151.3678275027503,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
