connection,kind,members,length_mm,diameter_mm,x_mm,y_mm,z_mm,dx,dy,dz,status
clip_single_top_left_1_beam_1,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_beam_2,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_beam_3,screw,clip_single_top_left_1 + base_rail_top,38.1,6.35,-1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_1,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1390.7352467286478,2129.445246197717,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_2,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1415.8398386899714,2100.0906560548547,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_1_upright_3,screw,clip_single_top_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,1449.1078332943139,2080.4648303396025,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_beam_1,screw,clip_single_top_left_2 + base_rail_top,38.1,6.35,-61.292739999999995,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_beam_2,screw,clip_single_top_left_2 + base_rail_top,38.1,6.35,-54.94274,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_beam_3,screw,clip_single_top_left_2 + base_rail_top,38.1,6.35,-61.292739999999995,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_upright_1,screw,clip_single_top_left_2 + base_principal_center,38.1,6.35,-21.605240000000002,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_upright_2,screw,clip_single_top_left_2 + base_principal_center,38.1,6.35,-21.605240000000002,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_left_2_upright_3,screw,clip_single_top_left_2 + base_principal_center,38.1,6.35,-21.605240000000002,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_1,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_2,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_beam_3,screw,clip_single_top_right_2 + base_rail_top,38.1,6.35,1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_1,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_2,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_top_right_2_upright_3,screw,clip_single_top_right_2 + base_side_right,38.1,6.35,1178.5447600000002,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_beam_1,screw,clip_single_mid_left_1 + base_rail_mid_left,38.1,6.35,-1138.8572600000002,640.722628901273,1235.6150144109547,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_beam_2,screw,clip_single_mid_left_1 + base_rail_mid_left,38.1,6.35,-1145.2072600000001,669.9089221841059,1211.1248064818974,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_beam_3,screw,clip_single_mid_left_1 + base_rail_mid_left,38.1,6.35,-1138.8572600000002,699.0952154669388,1186.63459855284,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_upright_1,screw,clip_single_mid_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,619.2936969633479,1210.0770077884758,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_upright_2,screw,clip_single_mid_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,644.3982889246713,1180.722417645613,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_single_mid_left_1_upright_3,screw,clip_single_mid_left_1 + base_side_left,38.1,6.35,-1178.5447600000002,677.6662835290138,1161.0965919303612,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
