connection,panel,receiver,entry_x_mm,entry_y_mm,entry_z_mm,direction_x,direction_y,direction_z,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
timber_panel_lower_left_1,main_lower_left,base_side_left,-1200.15,6.778456605050806,282.53284356149646,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_2,main_lower_left,base_side_left,-1200.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_3,main_lower_left,base_principal_center,-9.525,-2.2205699305607425,271.80822135783075,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_4,main_lower_left,base_principal_center,-9.525,700.4748449787639,1109.2480065754976,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_5,main_lower_left,base_side_left,-1200.15,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_6,main_lower_left,base_side_left,-1200.15,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_7,main_lower_left,base_principal_center,-9.525,207.58530587112563,521.8451275918651,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_8,main_lower_left,base_principal_center,-9.525,464.9574647896159,828.5693226167039,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_9,main_lower_left,base_rail_bottom_left,-791.1500000000001,6.167808375848594,281.80510134053344,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_10,main_lower_left,base_rail_bottom_left,-448.1500000000001,6.167808375848594,281.80510134053344,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_11,main_lower_left,base_rail_mid_left,-793.1500000000001,745.7753017714227,1163.2349887043074,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_left_12,main_lower_left,base_rail_mid_left,-463.1500000000001,745.7753017714227,1163.2349887043074,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_1,main_lower_right,base_principal_center,9.525,19.634208798781593,297.853732423876,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_2,main_lower_right,base_principal_center,9.525,726.1863493662255,1139.8897843002567,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_3,main_lower_right,base_side_right,1200.15,6.778456605050806,282.53284356149646,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_4,main_lower_right,base_side_right,1200.15,713.3305971724948,1124.568895437877,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_5,main_lower_right,base_principal_center,9.525,242.2958367941987,563.2115275202899,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_6,main_lower_right,base_principal_center,9.525,503.52472137080827,874.5319892038426,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_7,main_lower_right,base_side_right,1200.15,229.4400846004679,547.8906386579104,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_8,main_lower_right,base_side_right,1200.15,490.66896917707743,859.211100341463,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_9,main_lower_right,base_rail_bottom_right,412.75000000000006,6.167808375848594,281.80510134053344,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_10,main_lower_right,base_rail_bottom_right,809.45,6.167808375848594,281.80510134053344,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_11,main_lower_right,base_rail_mid_right,407.75000000000006,745.7753017714227,1163.2349887043074,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_lower_right_12,main_lower_right,base_rail_mid_right,807.45,745.7753017714227,1163.2349887043074,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_1,main_upper_left,base_side_left,-1200.15,790.4651103348796,1216.4942286121545,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_2,main_upper_left,base_side_left,-1200.15,1471.3057465148618,2027.888502763776,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_3,main_upper_left,base_principal_center,-9.525,777.6093581411488,1201.173339749775,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_4,main_upper_left,base_principal_center,-9.525,1441.7375164692812,1992.650458380303,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_5,main_upper_left,base_side_left,-1200.15,1013.1267383302966,1481.8520237085684,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_6,main_upper_left,base_side_left,-1200.15,1274.3556229069063,1793.1724853921212,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_7,main_upper_left,base_principal_center,-9.525,991.9147472106407,1456.572557085642,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_8,main_upper_left,base_principal_center,-9.525,1248.6441185194444,1762.5307076673619,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_9,main_upper_left,base_rail_mid_left,-804.1500000000001,758.0204057359514,1177.8281353457241,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_10,main_upper_left,base_rail_mid_left,-423.1500000000001,758.0204057359514,1177.8281353457241,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_11,main_upper_left,base_rail_top,-819.1500000000001,1523.3394035189872,2089.899800434257,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_left_12,main_upper_left,base_rail_top,-438.1500000000001,1523.3394035189872,2089.899800434257,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_1,main_upper_right,base_principal_center,9.525,803.3208625286104,1231.8151174745342,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_2,main_upper_right,base_principal_center,9.525,1484.1614987085927,2043.2093916261556,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_3,main_upper_right,base_side_right,1200.15,790.4651103348796,1216.4942286121545,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_4,main_upper_right,base_side_right,1200.15,1471.3057465148618,2027.888502763776,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_5,main_upper_right,base_principal_center,9.525,1025.9824905240275,1497.1729125709478,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_6,main_upper_right,base_principal_center,9.525,1287.2113751006368,1808.4933742545006,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_7,main_upper_right,base_side_right,1200.15,1013.1267383302966,1481.8520237085684,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_8,main_upper_right,base_side_right,1200.15,1274.3556229069063,1793.1724853921212,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_9,main_upper_right,base_rail_mid_right,427.75000000000006,758.0204057359514,1177.8281353457241,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_10,main_upper_right,base_rail_mid_right,821.45,758.0204057359514,1177.8281353457241,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_11,main_upper_right,base_rail_top,412.75000000000006,1523.3394035189872,2089.899800434257,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
timber_panel_upper_right_12,main_upper_right,base_rail_top,806.45,1523.3394035189872,2089.899800434257,0.0,-0.766044443118978,0.6427876096865393,12.1412,17.0,0.0,[],True
