part,connection,from_min_x_mm,from_min_s_mm,from_min_n_mm,from_min_x_in,from_min_s_in,from_min_n_in,axis_x,axis_s,axis_n,material_run_mm,status
box_side_left,analysis_leg_wall_bolt_left_1,38.09999999999991,1539.9999999999998,92.07499999999997,1.4999999999999964,60.62992125984251,3.624999999999999,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_1,19.050000000000182,860.2387276473562,1399.8115513120354,0.7500000000000072,33.8676664428093,55.11069099653683,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_1,19.049999999999955,860.2387276473562,1399.8115513120354,0.7499999999999982,33.8676664428093,55.11069099653683,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_2,38.09999999999991,1619.9999999999995,92.07499999999986,1.4999999999999964,63.779527559055104,3.6249999999999947,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_2,19.050000000000182,940.238727647356,1399.8115513120351,0.7500000000000072,37.01727274202189,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_2,19.049999999999955,940.238727647356,1399.8115513120351,0.7499999999999982,37.01727274202189,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_3,38.09999999999991,1739.9999999999995,92.07499999999986,1.4999999999999964,68.503937007874,3.6249999999999947,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_3,19.050000000000182,1060.238727647356,1399.8115513120351,0.7500000000000072,41.74168219084079,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_3,19.049999999999955,1060.238727647356,1399.8115513120351,0.7499999999999982,41.74168219084079,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_left,analysis_leg_wall_bolt_left_4,38.09999999999991,1819.9999999999998,92.07499999999986,1.4999999999999964,71.65354330708661,3.6249999999999947,-1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_inner,analysis_leg_wall_bolt_left_4,19.050000000000182,1140.2387276473562,1399.8115513120351,0.7500000000000072,44.8912884900534,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_left_outer,analysis_leg_wall_bolt_left_4,19.049999999999955,1140.2387276473562,1399.8115513120351,0.7499999999999982,44.8912884900534,55.11069099653682,-1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_right,analysis_leg_wall_bolt_right_1,0.0,1539.9999999999998,92.07499999999997,0.0,60.62992125984251,3.624999999999999,1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_inner,analysis_leg_wall_bolt_right_1,0.0,860.2387276473562,1399.8115513120354,0.0,33.8676664428093,55.11069099653683,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_outer,analysis_leg_wall_bolt_right_1,2.2737367544323206e-13,860.2387276473562,1399.8115513120354,8.951719505639057e-15,33.8676664428093,55.11069099653683,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_right,analysis_leg_wall_bolt_right_2,0.0,1619.9999999999995,92.07499999999986,0.0,63.779527559055104,3.6249999999999947,1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_inner,analysis_leg_wall_bolt_right_2,0.0,940.238727647356,1399.8115513120351,0.0,37.01727274202189,55.11069099653682,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_outer,analysis_leg_wall_bolt_right_2,2.2737367544323206e-13,940.238727647356,1399.8115513120351,8.951719505639057e-15,37.01727274202189,55.11069099653682,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_right,analysis_leg_wall_bolt_right_3,0.0,1739.9999999999995,92.07499999999986,0.0,68.503937007874,3.6249999999999947,1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_inner,analysis_leg_wall_bolt_right_3,0.0,1060.238727647356,1399.8115513120351,0.0,41.74168219084079,55.11069099653682,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_outer,analysis_leg_wall_bolt_right_3,2.2737367544323206e-13,1060.238727647356,1399.8115513120351,8.951719505639057e-15,41.74168219084079,55.11069099653682,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
box_side_right,analysis_leg_wall_bolt_right_4,0.0,1819.9999999999998,92.07499999999986,0.0,71.65354330708661,3.6249999999999947,1.0,0.0,0.0,38.09999999999991,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_inner,analysis_leg_wall_bolt_right_4,0.0,1140.2387276473562,1399.8115513120351,0.0,44.8912884900534,55.11069099653682,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
leg_right_outer,analysis_leg_wall_bolt_right_4,2.2737367544323206e-13,1140.2387276473562,1399.8115513120351,8.951719505639057e-15,44.8912884900534,55.11069099653682,1.0,0.0,0.0,19.049999999999955,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
kicker_left,kicker_left_bottom_0,50.0,30.886002377314952,16.069690242163517,1.968503937007874,1.2159843455635808,0.632664970163918,0.0,-0.6427876096865427,0.766044443118978,18.256249999999998,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
kicker_batten_bottom,kicker_left_bottom_0,50.0,43.641319007032166,16.069690242163517,1.968503937007874,1.7181621656311878,0.632664970163918,0.0,-0.6427876096865427,0.766044443118978,32.54375,Entry relative to this part's minimum X/S/N; see STEP for shaped parts; NOT machining approval
