part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
main_lower_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,1,2608.023990442487,184.15,38.09999999999991,102.67810985994043,7.250000000000001,1.4999999999999964,One-piece nominal 2x8 x10 ft Douglas Fir-Larch No.2 candidate; actual section 38.1 x184.15 mm; level lower bearing cut; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_side_right,1,2608.023990442487,184.15,38.09999999999991,102.67810985994043,7.250000000000001,1.4999999999999964,One-piece nominal 2x8 x10 ft Douglas Fir-Larch No.2 candidate; actual section 38.1 x184.15 mm; level lower bearing cut; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_principal_left,1,2532.626011836657,139.7,38.1,99.70968550538021,5.5,1.5000000000000002,Nominal 2x6 x10 ft; front housing 88.9 mm along board x38.1 mm deep for continuous lower rail; 101.6 mm rear depth remains; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_principal_right,1,2532.626011836657,139.7,38.1,99.70968550538021,5.5,1.5000000000000002,Nominal 2x6 x10 ft; front housing 88.9 mm along board x38.1 mm deep for continuous lower rail; 101.6 mm rear depth remains; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_rail_top,1,2362.2000000000003,139.7,38.1,93.00000000000001,5.5,1.5000000000000002,"Continuous square-cut 2x6 top crossmember; grain X; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_mid_lower_left,1,1104.9,139.7,38.1,43.50000000000001,5.5,1.5000000000000002,Nominal 2x6 midpoint rail; front LED service pockets; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_rail_mid_lower_right,1,1143.0000000000002,139.7,38.1,45.000000000000014,5.5,1.5000000000000002,Nominal 2x6 midpoint rail; front LED service pockets; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_rail_mid_upper_left,1,1104.9,139.7,38.1,43.50000000000001,5.5,1.5000000000000002,Nominal 2x6 midpoint rail; front LED service pockets; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_rail_mid_upper_right,1,1143.0000000000002,139.7,38.1,45.000000000000014,5.5,1.5000000000000002,Nominal 2x6 midpoint rail; front LED service pockets; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_header,1,2438.4,285.75,38.1,96.00000000000001,11.25,1.5000000000000002,Flat nominal 2x12 header; full-depth posts beneath sloped-member bearing lines; bottom face backing supplied separately; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_post_outer_left,1,186.9,285.75,38.1,7.358267716535433,11.25,1.5000000000000002,Short upright nominal 2x12 block; grain vertical; supports full header depth; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_post_center_left,1,186.9,285.75,38.1,7.358267716535433,11.25,1.5000000000000002,Short upright nominal 2x12 block; grain vertical; supports full header depth; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_post_center_right,1,186.9,285.75,38.1,7.358267716535433,11.25,1.5000000000000002,Short upright nominal 2x12 block; grain vertical; supports full header depth; Development geometry; connections and structural resistance unqualified; NOT build-ready
base_post_outer_right,1,186.9,285.75,38.1,7.358267716535433,11.25,1.5000000000000002,Short upright nominal 2x12 block; grain vertical; supports full header depth; Development geometry; connections and structural resistance unqualified; NOT build-ready
leg_left_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,Independent 3/4 in plywood leg ply; three ply stitch bolts and four removable rim bolts per leg; Development geometry; connections and structural resistance unqualified; NOT build-ready
leg_left_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,Independent 3/4 in plywood leg ply; three ply stitch bolts and four removable rim bolts per leg; Development geometry; connections and structural resistance unqualified; NOT build-ready
leg_right_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,Independent 3/4 in plywood leg ply; three ply stitch bolts and four removable rim bolts per leg; Development geometry; connections and structural resistance unqualified; NOT build-ready
leg_right_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,Independent 3/4 in plywood leg ply; three ply stitch bolts and four removable rim bolts per leg; Development geometry; connections and structural resistance unqualified; NOT build-ready
