connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
analysis_leg_wall_bolt_left_1,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,901.3593768170906,1463.8931115651144,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_left_2,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,952.7823855920137,1525.1766670146326,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_left_3,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,1029.9168987543983,1617.1020001889099,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_left_4,bolt,box_side_left + leg_left_inner + leg_left_outer,-1217.549,1081.3399075293216,1678.3855556384283,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_1,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,901.3593768170906,1463.8931115651144,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_2,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,952.7823855920137,1525.1766670146326,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_3,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,1029.9168987543983,1617.1020001889099,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
analysis_leg_wall_bolt_right_4,bolt,box_side_right + leg_right_inner + leg_right_outer,1217.549,1081.3399075293216,1678.3855556384283,1.0,0.0,0.0,95.25,3.75,9.525,76.2,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED Conquest 3/8-16 A307 Grade A plain standard hex bolt; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_1,screw,main_lower_left + panel_edge_bottom,-1169.2,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_2,screw,main_lower_left + panel_edge_bottom,-796.1333333333334,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_3,screw,main_lower_left + panel_edge_bottom,-423.0666666666667,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_4,screw,main_lower_left + panel_edge_bottom,-50.0,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_5,screw,main_lower_left + panel_seam_horizontal,-1169.2,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_6,screw,main_lower_left + panel_seam_horizontal,-793.1333333333334,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_7,screw,main_lower_left + panel_seam_horizontal,-445.0666666666667,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_8,screw,main_lower_left + panel_seam_horizontal,-50.0,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_9,screw,main_lower_left + panel_edge_left_lower,-1169.2,254.13831029326778,548.9231547438868,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
