connection,panel,receiver,entry_xyz_mm,direction_xyz,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
timber_panel_lower_left_1,main_lower_left,base_side_left,"[-1200.15, 6.778456605050856, 282.5328435614965]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_2,main_lower_left,base_side_left,"[-1200.15, 713.3305971724948, 1124.568895437877]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_3,main_lower_left,base_principal_center,"[-15.875, -0.9349947111876276, 273.34031024406875]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_4,main_lower_left,base_principal_center,"[-15.875, 700.4748449787639, 1109.2480065754976]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_5,main_lower_left,base_side_left,"[-1200.15, 229.4400846004679, 547.8906386579104]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_6,main_lower_left,base_side_left,"[-1200.15, 490.66896917707743, 859.211100341463]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_7,main_lower_left,base_principal_center,"[-15.875, 206.29973065175255, 520.3130387056272]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_8,main_lower_left,base_principal_center,"[-15.875, 463.6718895702428, 827.0372337304659]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_9,main_lower_left,base_rail_bottom_left_1,"[-834.1500000000001, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_10,main_lower_left,base_rail_bottom_left_2,"[-448.1500000000001, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
