part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
main_lower_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
main_lower_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
main_upper_left,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
main_upper_right,1,1219.2,1219.2,18.256249999999998,48.00000000000001,48.00000000000001,0.71875,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
kicker_left,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
kicker_right,1,1219.2,225.0,18.256249999999998,48.00000000000001,8.858267716535433,0.71875,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
box_side_left,1,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,"Original 2x8 rim datum with 9.525 mm inner-face beam housings; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
leg_left_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
leg_left_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
box_side_right,1,2438.4,184.15,38.1,96.00000000000001,7.250000000000001,1.5000000000000002,"Original 2x8 rim datum with 9.525 mm inner-face beam housings; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
leg_right_inner,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
leg_right_outer,1,1782.1991070973556,727.5392893581999,19.05,70.16531917706125,28.643279108590548,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
kicker_batten_bottom,1,2438.4,50,38.1,96.00000000000001,1.968503937007874,1.5000000000000002,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
kicker_batten_top,1,2438.4,50,38.1,96.00000000000001,1.968503937007874,1.5000000000000002,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
kicker_cheek_left,2,343.3693383237762,141.0670842003598,38.1,13.518477886762843,5.553822212612591,1.5000000000000002,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
kicker_cheek_right,2,343.3693383237762,141.0670842003598,38.1,13.518477886762843,5.553822212612591,1.5000000000000002,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
cheek_splice_left_inner,1,228.97839601454803,153.31428722535233,19.05,9.014897480887718,6.035995560053242,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
cheek_splice_left_outer,1,228.97839601454803,153.31428722535233,19.05,9.014897480887718,6.035995560053242,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
cheek_splice_right_inner,1,228.97839601454803,153.31428722535233,19.05,9.014897480887718,6.035995560053242,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
cheek_splice_right_outer,1,228.97839601454803,153.31428722535233,19.05,9.014897480887718,6.035995560053242,0.7500000000000001,"Retained purchased face / plywood leg or splice / timber profile; original datum, only this MVP's fastener bores; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_vertical_center_left,1,2438.4,88.9,38.1,96.00000000000001,3.5000000000000004,1.5000000000000002,"Flat 2x4 face-bearing ledge, grain S; front-half housing at horizontal ledges; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_vertical_center_right,1,2438.4,88.9,38.1,96.00000000000001,3.5000000000000004,1.5000000000000002,"Flat 2x4 face-bearing ledge, grain S; front-half housing at horizontal ledges; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_vertical_edge_left,1,2438.4,88.9,38.1,96.00000000000001,3.5000000000000004,1.5000000000000002,"Flat 2x4 face-bearing ledge, grain S; front-half housing at horizontal ledges; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_vertical_edge_right,1,2438.4,88.9,38.1,96.00000000000001,3.5000000000000004,1.5000000000000002,"Flat 2x4 face-bearing ledge, grain S; front-half housing at horizontal ledges; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_rail_lower,1,2438.4,88.9,38.1,96.00000000000001,3.5000000000000004,1.5000000000000002,"Flat horizontal face-bearing ledge (2x6 at seam, 2x4 at ends), grain X; rear-half housing; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_rail_mid,1,2438.4,139.69999999999982,38.1,96.00000000000001,5.499999999999993,1.5000000000000002,"Flat horizontal face-bearing ledge (2x6 at seam, 2x4 at ends), grain X; rear-half housing; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_rail_top,1,2438.4,88.90000000000009,38.1,96.00000000000001,3.500000000000004,1.5000000000000002,"Flat horizontal face-bearing ledge (2x6 at seam, 2x4 at ends), grain X; rear-half housing; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_principal_left,1,2438.4,139.7,38.1,96.00000000000001,5.5,1.5000000000000002,"Continuous on-edge 2x6 central support, grain S; actual 69.85 mm half-depth housings; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_principal_right,1,2438.4,139.7,38.1,96.00000000000001,5.5,1.5000000000000002,"Continuous on-edge 2x6 central support, grain S; actual 69.85 mm half-depth housings; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_beam_lower,1,2457.4500000000003,139.7,38.1,96.75000000000001,5.5,1.5000000000000002,"On-edge 2x6 crossbeam/top cap, grain X; housed ends and complementary half-depth cuts; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_beam_mid,1,2457.4500000000003,139.7,38.1,96.75000000000001,5.5,1.5000000000000002,"On-edge 2x6 crossbeam/top cap, grain X; housed ends and complementary half-depth cuts; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_beam_top,1,2457.4500000000003,139.7,38.1,96.75000000000001,5.5,1.5000000000000002,"On-edge 2x6 crossbeam/top cap, grain X; housed ends and complementary half-depth cuts; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_kicker_block_left_bottom,1,76.2,40.0,38.1,3.0000000000000004,1.5748031496062993,1.5000000000000002,"Sawn kicker retention block, grain vertical Z; side-grain X/Y fasteners; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_kicker_block_left_top,1,76.2,40.0,38.1,3.0000000000000004,1.5748031496062993,1.5000000000000002,"Sawn kicker retention block, grain vertical Z; side-grain X/Y fasteners; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_kicker_block_right_bottom,1,76.2,40.0,38.1,3.0000000000000004,1.5748031496062993,1.5000000000000002,"Sawn kicker retention block, grain vertical Z; side-grain X/Y fasteners; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
wood_kicker_block_right_top,1,76.2,40.0,38.1,3.0000000000000004,1.5748031496062993,1.5000000000000002,"Sawn kicker retention block, grain vertical Z; side-grain X/Y fasteners; WOOD-FIRST MVP; nominal ordinary stock/hardware, unqualified joint, fit and stability; no glue/friction capacity credit"
