
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.1000000E+01

       102  2.692973E-02 -3.039903E-01  3.051392E-01
       106 -2.511919E-06 -4.389940E-01  3.841806E-01
       114 -2.693488E-02 -3.039861E-01  3.051373E-01
      1821  1.710352E-02 -4.033652E-01  3.581827E-01
      2138 -1.676036E-02 -4.033575E-01  3.581795E-01

 total force (fx,fy,fz) for set FEET and time  0.1000000E+01

       -9.121308E-10  9.192533E+02 -7.713451E+02

                        S T E P       2


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.2000000E+01

       102 -2.692973E-02  3.039903E-01 -3.051392E-01
       106  2.511919E-06  4.389940E-01 -3.841806E-01
       114  2.693488E-02  3.039861E-01 -3.051373E-01
      1821 -1.710352E-02  4.033652E-01 -3.581827E-01
      2138  1.676036E-02  4.033575E-01 -3.581795E-01

 total force (fx,fy,fz) for set FEET and time  0.2000000E+01

        9.125496E-10 -9.192533E+02  7.713451E+02

                        S T E P       3


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.3000000E+01

       102 -1.215979E-03  3.443222E-03 -3.032820E-02
       106  1.650059E-06  6.498237E-03 -3.235388E-02
       114  1.220625E-03  3.442689E-03 -3.033008E-02
      1821 -5.520881E-04  6.565529E-03 -3.028351E-02
      2138  3.057063E-04  6.562605E-03 -3.028997E-02

 total force (fx,fy,fz) for set FEET and time  0.3000000E+01

        1.167793E-10  7.713451E+02  9.192533E+02

                        S T E P       4


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.4000000E+01

       102  6.864473E-02  4.379929E-03  2.815635E-02
       106  6.469376E-02  4.099585E-07 -2.655497E-06
       114  6.864365E-02 -4.377746E-03 -2.816385E-02
      1821  6.404224E-02 -4.281997E-04  1.458079E-02
      2138  6.404311E-02  3.229285E-04 -1.417106E-02

 total force (fx,fy,fz) for set FEET and time  0.4000000E+01

       -1.200000E+03  2.379485E-10 -7.477583E-10

                        S T E P       5


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.5000000E+01

       102  5.281627E-04  3.057423E-01 -2.938766E-01
       106  2.588002E-02  4.389941E-01 -3.841816E-01
       114  5.439234E-02  3.022350E-01 -3.164028E-01
      1821  8.513380E-03  4.031940E-01 -3.523504E-01
      2138  4.237760E-02  4.034867E-01 -3.638479E-01

 total force (fx,fy,fz) for set FEET and time  0.5000000E+01

       -4.800000E+02 -9.192533E+02  7.713451E+02
