
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.1000000E+01

     17377 -1.491813E-02  1.921089E-01 -1.943216E-01
     17422 -9.231373E-03  2.590377E-01 -2.368493E-01
     17859 -1.005225E-03  2.632829E-01 -2.348363E-01
     21366  4.106018E-03  2.706578E-01 -2.428162E-01
     22555  1.219766E-02  1.867917E-01 -1.852566E-01

 total force (fx,fy,fz) for set FEET and time  0.1000000E+01

       -3.810485E-11 -2.406576E-09  1.200000E+03

                        S T E P       2


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.2000000E+01

     17377 -2.983625E-02  3.842179E-01 -3.886432E-01
     17422 -1.846275E-02  5.180754E-01 -4.736986E-01
     17859 -2.010451E-03  5.265658E-01 -4.696727E-01
     21366  8.212035E-03  5.413156E-01 -4.856325E-01
     22555  2.439532E-02  3.735834E-01 -3.705131E-01

 total force (fx,fy,fz) for set FEET and time  0.2000000E+01

       -7.576162E-11 -4.812341E-09  2.400000E+03

                        S T E P       3


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.3000000E+01

     17377 -1.905566E-02  2.509909E-01 -2.446659E-01
     17422 -1.166288E-02  3.396097E-01 -3.008914E-01
     17859 -9.289602E-04  3.446038E-01 -2.984805E-01
     21366  5.710046E-03  3.550920E-01 -3.090861E-01
     22555  1.625149E-02  2.441204E-01 -2.339259E-01

 total force (fx,fy,fz) for set FEET and time  0.3000000E+01

       -1.169163E-10 -3.000000E+02  1.200000E+03

                        S T E P       4


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.4000000E+01

     17377 -1.078059E-02  1.332269E-01 -1.439773E-01
     17422 -6.799866E-03  1.784657E-01 -1.728072E-01
     17859 -1.081491E-03  1.819620E-01 -1.711921E-01
     21366  2.501989E-03  1.862236E-01 -1.765464E-01
     22555  8.143833E-03  1.294630E-01 -1.365873E-01

 total force (fx,fy,fz) for set FEET and time  0.4000000E+01

        4.110734E-11  3.000000E+02  1.200000E+03

                        S T E P       5


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.5000000E+01

     17377 -2.226734E-02  3.039102E-01 -2.791713E-01
     17422 -1.338438E-02  4.133930E-01 -3.484803E-01
     17859 -4.124562E-04  4.184167E-01 -3.459670E-01
     21366  7.554326E-03  4.326969E-01 -3.591419E-01
     22555  2.026216E-02  2.957327E-01 -2.682120E-01

 total force (fx,fy,fz) for set FEET and time  0.5000000E+01

       -2.665659E-10 -9.192533E+02  7.713451E+02

                        S T E P       6


                                INCREMENT     1


 displacements (vx,vy,vz) for set TOP and time  0.6000000E+01

     17377  2.226734E-02 -3.039102E-01  2.791713E-01
     17422  1.338438E-02 -4.133930E-01  3.484803E-01
     17859  4.124562E-04 -4.184167E-01  3.459670E-01
     21366 -7.554326E-03 -4.326969E-01  3.591419E-01
     22555 -2.026216E-02 -2.957327E-01  2.682120E-01

 total force (fx,fy,fz) for set FEET and time  0.6000000E+01

        2.667080E-10  9.192533E+02 -7.713451E+02
