connection,panel,receiver,provenance,purpose,direction_xyz,x_mm,panel_s_or_z_mm,grain_station_mm,receiver_low_end_distance_mm,receiver_high_end_distance_mm,receiver_face_edge_distance_mm,nearest_panel_edge_mm,gross_penetration_mm,nominal_embedded_thread_mm,future_insert_reserve_passed_historical,maximum_withdrawal_n,withdrawal_case,maximum_lateral_n,lateral_case,proven_removable,candidate_300_action,candidate_remove_all_infill_action,nearest_same_panel_receiver_spacing_mm,nearest_all_panel_same_receiver_spacing_mm
timber_panel_lower_left_1,main_lower_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,60.00000000000006,220.78982272741175,75.10379336119148,2378.4,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,0.0,c10-k1000,432.756956188086,c10-k10000,False,keep,keep,346.39999999999975,346.39999999999975
timber_panel_lower_left_2,main_lower_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,1159.1999999999998,1319.9898227274116,1174.3037933611954,1279.2000000000003,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,274.02148301793875,c6-k1000,545.0765045826225,c10-k10000,False,keep,keep,346.4000000000002,120.00000000000023
timber_panel_lower_left_3,main_lower_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,48.0,208.78982272741172,63.10379336119139,2352.3,19.050000000000004,48.0,32.543749999999996,31.496,True,67.92634161097028,f10-k1000,144.21976643009057,c7-k1000,False,keep,keep,107.46666666666658,107.46666666666658
timber_panel_lower_left_4,main_lower_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,1139.2,1299.9898227274116,1154.3037933611954,1261.1000000000004,19.050000000000004,70.0,32.543749999999996,31.496,True,324.9178633544508,c6-k1000,438.81093515384055,c6-k1000,False,keep,keep,122.79999999999995,120.00000000000023
timber_panel_lower_left_5,main_lower_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,406.39999999999975,567.1898227274115,421.50379336119255,2032.0000000000005,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,27.47448836231511,c10-k100,404.73777557571015,c10-k10000,False,keep,keep,346.39999999999975,346.39999999999975
timber_panel_lower_left_6,main_lower_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,812.7999999999996,973.5898227274114,827.903793361194,1625.6000000000004,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,51.88351621339042,c10-k100,289.59162724794083,c6-k1000,False,keep,keep,346.4000000000002,346.4000000000002
timber_panel_lower_left_7,main_lower_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,370.39999999999986,531.1898227274115,385.50379336119244,2029.9000000000005,19.050000000000004,70.0,32.543749999999996,31.496,True,6.878124309659167,c10-k100,110.04899140449706,c10-k10000,False,keep,keep,107.46666666666664,107.46666666666664
timber_panel_lower_left_8,main_lower_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,770.7999999999997,931.5898227274115,785.9037933611938,1629.5000000000005,19.050000000000004,70.0,32.543749999999996,31.496,True,2.674606119200433,c10-k10000,122.14632659890745,c6-k1000,False,keep,keep,122.80000000000018,122.80000000000018
timber_panel_lower_left_9,main_lower_left,base_rail_bottom_left,original,Panel top/bottom edge attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-834.1500000000001,59.0499999999999,-834.1500000000001,346.95000000000005,745.1000000000001,19.050000000000612,59.0499999999999,32.543749999999996,31.496,True,10.212742605787861,c10-k10000,260.4155142900106,f10-k1000,False,keep,keep,386.0,386.0
timber_panel_lower_left_10,main_lower_left,base_rail_bottom_left,original,Panel top/bottom edge attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-448.1500000000001,59.0499999999999,-448.1500000000001,732.95,359.10000000000014,19.050000000000612,59.0499999999999,32.543749999999996,31.496,True,7.212608264006396,c7-k1000,209.45401353157905,f10-k1000,False,keep,keep,386.0,386.0
